Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/11/557,04/08/2016,ООО,"""Манора""","236000, Калининградская обл., г. Калининград, ул. Ген.Толстикова, д. 29, кв. 20",3908035571,,г. Калининград,,ул. Л.Иванихиной,д. 1-а,,,,,,,,,,,
39/АЛК/11/479,01/07/2016,ООО,"""Манхэттен""","236029, Калининградская обл., г. Калининград, ул. Гайдара, д. 136",3906146477,,г. Калининград,,ул. Гайдара,д. 136,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/290,31/05/2015,ООО,"""МАП-Экспресс Плюс""","236013, Калининградская обл., г. Калининград, ул. Алтайская-1, д. 29",3905034192,,г. Калининград,,ул. Хабаровская,д. 1-а,,,,,,,,,,,
39/АЛК/12/66,22/02/2013,ООО,"""Марина и К""","236023, Калининградская обл., г. Калининград, ул. Молочинского, д. 25, кв. 2",3904070896,,г. Калининград,,ул. Ставропольская,д. 1-а,,,,"Литер: А, А1",,,,,,,
39/АЛК/12/151,30/03/2017,ООО,"""МАРИЯ""","236000, Калининградская обл., г. Калининград, ул. Гайдара, д. 27-а",3904077845,,г. Калининград,,ул. Юбилейная,д. 8,,,,литер IV из лит.А,,,,,,,
39/АЛК/11/779,16/12/2012,ООО,"""Мартин и К""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 34",3917022018,,г. Калининград,,ул. Проф.Баранова,д. 34,кафе,,,литера CXV из литера А,,,,,,,
39/АЛК/09/745,03/12/2012,ООО,"""Марченко и компания""","236000, г. Калининград, ул. Кирова, д. 3, кв. 4",3904046283,,г. Калининград,,ул. Красносельская,д. 63-б,,,"секции № 3, № 4",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/456,10/08/2017,ООО,"""Мастер-Фуд""","236010, Калининградская обл., г. Калининград, ул. Серж.Мишина, д. 3, кв. 2",3905077020,,г. Зеленоградск,,ул. Гагарина,д. 2-в,закусочная,,,,,,,,,,
39/АЛК/11/778,16/12/2012,ООО,"""МАТФЕЙ""","238700, Калининградская обл., г. Советск, ул. Ленина, д. 30",3911000392,,г. Советск,,ул. Ленина,д. 30,,,,закусочная,,,,,,,
39/АЛК/12/207,20/04/2014,ООО,"""МВР-ГРУПП""","236000, Калининградская обл., г. Калининград, ул. А.Невского, д. 24-30",3906178704,,г. Калининград,,пр-кт Ленинский,д. 30,бар,,первый этаж,,,,,,,,
39/АЛК/12/423,01/08/2017,ООО,"""МЕДОСТБАЛТ-Ко""","238420, Калининградская обл., г. Багратионовск, ул. Калининградская, д. 34",3915000474,,г. Багратионовск,,ул. Калининградская,д. 7,,,,,,,,,,,
39/АЛК/11/765,08/12/2014,ООО,"""Меридиан- 2005""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 122, кв. 16",3904063137,,г. Калининград,,ул. Д.Давыдова,д. 26,,,1-й этаж,,,,,,,,
39/АЛК/11/817,29/12/2012,ООО,"""Меркурий""","238350, Калининградская обл., Гурьевский р-н, п. Шоссейный, СНТ ""Ветерок-2""",3917030971,Гурьевский р-н,,п. Шоссейный,"С/Т ""Ветерок-2""",участок187,187-а,магазин,,,,,,,,,
39/АЛК/10/561,28/12/2015,ООО,"""МЕТРО Кэш энд Керри""","125445, г. Москва, Ленинградское шоссе, д. 71-г",7704218694,,г. Калининград,,пр-кт Московский,д. 279,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/72,18/03/2013,ООО,"""Мечта""","238710, Калининградская обл., г. Неман, ул. Победы, д. 51",3909026523,,г. Неман,,ул. Победы,д. 44-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/26,28/01/2014,ООО,"""МИГА""","236000, г. Калининград, ул. Красная, д. 21-а",3904011393,Багратионовский р-н,,п. Долгоруково,ул. Шанина,,,,торговый павильон,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/285,10/09/2013,ООО,"""Микош""","238420, Калининградская обл., г. Багратионовск, ул. Багратиона, д. 8",3915003651,,г. Багратионовск,,ул. Багратиона,д. 8,,,,,,,,,,,
39/АЛК/11/838,30/12/2012,ООО,"""МилТорг""","238310, Калининградская обл., Гурьевский р-н, п. Васильково, ул. Шатурская, д. 24",3917513305,Гурьевский р-н,,п. Васильково,ул. 40-Летия Победы,д. 11,,,,литер А,,,,,,,
39/АЛК/11/835,30/12/2012,ООО,"""Минимал""","236006, Калининградская обл., г. Калининград, пр-кт Московский, д. 152",3906109203,,г. Калининград,,пр-кт Московский,д. 146-152,,,,литер I из литера А,,,,,,,
39/АЛК/09/835,30/12/2012,ООО,"""МИНИПРОДУКТ""","236010, г. Калининград, ул. Вагоностроительная, д. 16",3905073071,,г. Калининград,,ул. А.Невского,д. 46-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/197,13/04/2013,ООО,"""МИРАНДОЛИНА""","236901, Калининградская обл., г. Калининград, пгт Прибрежный, ул. Воскресенская, д. 1, кв. 58",3917027810,,г. Калининград,пгт Прибрежный,ул. Заводская,д. 27-в,,,,,,,,,,,
39/АЛК/11/374,10/06/2014,ООО,"""МИРЗОЕВ""","236000, г. Калининград, ул. А.Невского, д. 72",3906154943,,г. Калининград,,ул. А.Невского,д. 72-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/78,28/02/2013,ООО,"""МиркоБалт""","236000, Калининградская обл., г. Калининград, ул. Чайковского, д. 4/10",3907013529,,г. Калининград,,ул. Чайковского,д. 4-10,,,,"литер II из литера А,а",,,,,,,
39/АЛК/08/63,05/03/2013,ООО,"""МИСГЕР""","238355, Калининградская обл., Гурьевский р-н, п. Малое Луговое, ул. Новая, д. 9",3917001970,Гурьевский р-н,,п. Малое Луговое,ул. Юбилейная,д. 9,,,,,,,,,,,
39/АЛК/12/343,29/06/2015,ООО,"""МИФ""","238210, Калининградская обл., г. Гвардейск, ул. Красноармейская, д. 20",3916001216,,г. Гвардейск,,ул. Красноармейская,д. 20,,,,,,,,,,,
39/АЛК/11/723,25/11/2016,ООО,"""МИЯ""","238750, Калининградская обл., г. Советск, ул. Школьная, д. 5",3911004044,,г. Калининград,,пл. Победы,д. 10,закусочная,,1-ый этаж,литер XXXIX из лит.А,,,,,,,
39/АЛК/12/313,15/06/2017,ООО,"""МК-Тандем""","236000, Калининградская обл., г. Калининград, ул. К.Маркса, д. 1, кв. 4",3904607179,,г. Калининград,,ул. Косм.Леонова,д. 48-52,,,,литера I из лит.А,,,,,,,
39/АЛК/12/138,26/03/2017,ООО,"""МОДУЛЬ ЦЕНТР""","238590, Калининградская обл., г. Пионерский, пер. Советский, д. 1",3910004588,,г. Пионерский,,ул. Комсомольская,д. 43,,,,,,,,,,,
39/АЛК/09/641,08/10/2012,ООО,"""Мозырь-плюс""","238410, Калининградская обл., Правдинский р-н, п. Железнодорожный, ул. Коммунистическая, д. 12",3923500431,Правдинский р-н,,п. Крылово,ул. Центральная,д. 29,,,,,,,,,,,
39/АЛК/11/489,08/07/2016,ООО,"""МОРСКАЯ ДАЛЬ""","238530, Калининградская обл., г. Зеленоградск, ул. Володарского, д. 20",3905044169,,г. Зеленоградск,,ул. Володарского,д. 20,ресторан,,,литера В,,,,,,,
39/АЛК/08/205,25/06/2013,ООО,"""Морская лагуна""","238550, Калининградская обл., г. Светлогорск, пер. Береговой, д. 1-б",3912007859,,г. Светлогорск,,пер. Береговой,д. 1,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/155,30/03/2017,ООО,"""Морские просторы""","238420, Калининградская обл., г. Багратионовск, ул. Красноармейская, д. 15",3917013888,,г. Зеленоградск,,ул. Володарского,д. 20,ресторан,,,литера В,,,,,,,
39/АЛК/10/103,26/03/2013,ООО,"""Москва-Берлин""","236000, г. Калининград, пр-кт Мира, д. 19",3904609578,,г. Калининград,,пр-кт Мира,д. 19-21,,,первый этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/632,23/09/2013,ООО,"""Московское""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 30",3906104413,,г. Калининград,,ул. Дзержинского,д. 98-а,,,,,,,,,,,
39/АЛК/11/384,10/06/2013,ООО,"""Моспродсервис""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 23-а",3906230390,,г. Калининград,,пр-кт Мира,д. 13,,,,литер II из лит.А,,,,,,,
39/АЛК/08/85,19/03/2013,ООО,"""МРОВ""","236039, г. Калининград, пр-кт Калинина, д. 4",3906014520,,г. Калининград,,пр-кт Калинина,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/358,03/06/2016,ООО,"""МСК""","236010, Калининградская обл., г. Калининград, ул. Красносельская, д. 2, кв. 11",3905011068,,г. Калининград,,ул. Химическая,д. 17-17а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/320,18/06/2013,ООО,"""МУЗА""","236000, Калининградская обл., г. Калининград, ул. Косм.Леонова, д. 18",3904077299,,г. Калининград,,ул. Октябрьская,д. 8,ресторан,,первый этаж,,,,,,,,
39/АЛК/11/716,18/11/2012,МУП,"""Муниципальное унитарное предприятие  ""Оптово-розничное предприятие ""Гвардейское""","238210, Калининградская обл., г. Гвардейск, ул. Красноармейская, д. 26-а",3916001054,,г. Гвардейск,,ул. Вокзальная,д. 7,,,,,,,,,,,
39/АЛК/11/751,02/12/2012,,"""Муниципальное унитарное предприятие общественного питания кафе ""Надежда""","238710, Калининградская обл., г. Неман, ул. Победы, д. 48",3909010058,,г. Неман,,ул. Победы,д. 48,кафе,,,,,,,,,,
39/АЛК/08/75,18/03/2013,ООО,"""Мясопродукт""","238700, Калининградская обл., г. Советск, ул. Искры, д. 8-а",3911009620,,г. Советск,,ул. Искры,д. 8-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/31,04/02/2013,ООО,"""Навигатор Трейд""","236019, г. Калининград, ул. Габайдулина, д. 56",3904609017,,г. Калининград,,ул. Габайдулина,д. 56,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/395,26/11/2013,ЗАО,"""НАВИГАТОР-ГРУПП""","236019, Калининградская обл., г. Калининград, ул. Габайдулина, д. 56",3904061429,,г. Калининград,,пр-кт Советский,д. 285,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/397,27/07/2015,ООО,"""Надежда""","238318, Калининградская обл., Гурьевский р-н, п. Новгородское, д. 19",3917038360,,г. Калининград,,ул. Карпатская,д. 25-27,,,,литер I,,,,,,,
39/АЛК/12/89,05/03/2013,ООО,"""Надежда""","238710, Калининградская обл., г. Неман, ул. Победы, д. 48",3909000420,,г. Неман,,ул. Победы,д. 48,закусочная,,,,,,,,,,
39/АЛК/11/784,16/12/2013,ООО,"""Надежда""","238014, Калининградская обл., Нестеровский р-н, п. Садовое, ул. Центральная, д. 9",3920008341,Нестеровский р-н,,п. Садовое,ул. Центральная,д. 34-а,,,,литер А/1 из литера А,,,,,,,
39/АЛК/11/746,02/12/2012,ООО,"""Напитки Будды""","236000, Калининградская обл., г. Калининград, ул. Театральная, д. 30",3904614306,,г. Калининград,,пр-кт Ленинский,д. 18,кафе,,,,,,,,,,
39/АЛК/09/632,01/10/2012,ООО,"""Наринэт""","236000, г. Калининград, ул. Дм.Донского, д. 7",3905069903,Гурьевский р-н,,п. Васильково,ул. Шатурская,д. 2-в,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/773,09/12/2016,ООО,"""Натан Плюс""","238345, Калининградская обл., г. Светлый, п. Волочаевское, пер. Кооперативный, д. 3, кв. 3",3913011061,,Светловский ГО,п. Волочаевское,ул. Центральная,д. 16-а,,,,,,,,,,,
39/АЛК/12/182,06/04/2017,ООО,"""НАУТИЛУСС""","236040, Калининградская обл., г. Калининград, ул. Черняховского, д. 15-а, оф. 15",3906134584,,г. Калининград,,пр-кт Московский,д. 40,кафе,,,литер CLXXXIX из литера А,,,,,,,
39/АЛК/07/399,24/12/2012,ООО,"""Наш продукт""","238100, Калининградская обл., г. Черняховск, ул. Ленинградская, д. 16/1",3914013449,,г. Черняховск,,ул. Ленинградская,д. 16,,,магазин,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/699,12/11/2012,ООО,"""Наш Продукт""","238120, Калининградская обл., г. Озерск, ул. Пограничная, д. 7, кв. 17",3921003755,,г. Озерск,,ул. Тельмана,д. 8,,,,литер I из лит.А,,,,,,,
39/АЛК/11/388,10/06/2016,ООО,"""Наш хлеб""","238030, Калининградская обл., г. Гусев, ул. Багратиона, д. 3",3902800900,,г. Гусев,,ул. Московская,д. 64-а,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/12/445,10/08/2017,ООО,"""Нева""","236034, Калининградская обл., г. Калининград, пер. Ржевский-2, д. 20",3906170582,,г. Калининград,,ул. Аллея Смелых,д. 145,,,,"литер II,а,а1 из литера А",,,,,,,
39/АЛК/11/246,22/04/2014,ООО,"""Нептун""","236038, г. Калининград, ул. Ю.Гагарина, д. 157, кв. 3",3906151847,,г. Зеленоградск,,ул. Гагарина,д. 2-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/761,08/12/2014,ООО,"""Нессельбек""","236008, Калининградская обл., г. Калининград, ул. Верхнеозерная, д. 26",3906223450,Гурьевский р-н,,п. Орловка,пер. Центральный,д. 7,ресторан,,,,,,,,,,
39/АЛК/10/507,17/12/2015,,"""Нестеровское районное потребительское общество""","238010, Калининградская обл., г. Нестеров, ул. Черняховского, д. 10",3920000173,Нестеровский р-н,,п. Сосновка,магазин № 20,,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/259,26/04/2014,ООО,"""НЕФТЭК""","236013, г. Калининград, ул. Лужская, д. 23-а",3905043126,,г. Калининград,,ул. Лужская,д. 23-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/115,16/03/2013,ООО,"""Нива - Сервис""","238210, Калининградская обл., г. Гвардейск, ул. Гагарина, д. 6",3916500060,,г. Правдинск,,ул. Багратиона,д. 3-б,,,,,,,,,,,
39/АЛК/12/399,27/07/2013,ООО,"""НИГА""","236010, Калининградская обл., г. Калининград, пр-кт Победы, д. 140-а",3905607735,,г. Калининград,,пр-кт Победы,д. 140-а,,,,,,,,,,,
39/АЛК/12/315,18/06/2013,ООО,"""НИК""","238700, Калининградская обл., г. Советск, ул. Морозова П., д. 4-б",3911012133,,г. Советск,,ул. Морозова П.,,д. 4-б,,,,,,,,,,
39/АЛК/08/97,01/04/2013,ООО,"""НИКИТА ПЛЮС""","238700, Калининградская обл., г. Советск, ул. Садовая, д. 41, кв. 1",3911010217,,г. Советск,,ш. Калининградское,д. 16-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/644,08/10/2012,ООО,"""Никоторг""","236000, г. Калининград, ул. Пионерская, д. 48, кв. 5",3906156852,,г. Калининград,,пер. Трамвайный-2,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/147,26/03/2013,ООО,"""Нишики ЛТД""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 18",3906157870,,г. Калининград,,пр-кт Ленинский,д. 18,кафе,,1-й этаж,литера III,,,,,,,
39/АЛК/12/54,13/02/2014,ООО,"""Новая волна""","236011, Калининградская обл., г. Калининград, ул. Батальная, д. 17-а, пом. 14",3908602686,,г. Калининград,,пл. Победы,д. 10,кафе,,1-ый этаж,,,,,,,,
39/АЛК/12/127,16/03/2017,ООО,"""Новая торговая гильдия и К""","236013, Калининградская обл., г. Калининград, ул. Алданская, д. 11",3905047882,,г. Калининград,,пр-кт Мира,д. 90,,,,литер I из литера А,,,,,,,
39/АЛК/12/200,20/04/2015,ООО,"""Новые горизонты""","236040, Калининградская обл., г. Калининград, ул. Шевченко, д. 5-а -11-а",3906216460,,г. Светлый,,ул. Советская,д. 2-а,закусочная,,,,,,,,,,
39/АЛК/12/369,06/07/2013,ООО,"""Ноев Ковчег""","238522, Калининградская обл., Зеленоградский р-н, п. Переславское, 20 км, д. 4-а",3918502786,Зеленоградский р-н,,п. Переславское,20 км,д. 4-б,кафе,,,,,,,,,,
39/АЛК/12/400,27/07/2017,ООО,"""НОЙ""","236039, Калининградская обл., г. Калининград, пр-кт Калинина, д. 4",3907053948,,г. Калининград,,ул. Беговая,д. 26-32,,,,лит. I из лит.А,,,,,,,
39/АЛК/09/761,10/12/2012,ООО,"""НОЙХАУЗЕН""","238300, Калининградская обл., г. Гурьевск, ул. Ленина, д. 2-а",3917505142,,г. Гурьевск,,ул. Ленина,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/268,05/05/2014,ООО,"""Ностальгия плюс""","238010, Калининградская обл., г. Нестеров, ул. Калинина, д. 15, кв. 4",3920008158,Нестеровский р-н,,146 км автодороги,"""Калининград - Чернышевское""",,,,,"торговый павильон ""Ностальгия № 5""",,,,,,,
39/АЛК/11/267,05/05/2014,ООО,"""НОСТАЛЬГИЯ""","238010, Калининградская обл., г. Нестеров, ул. Калинина, д. 15, кв. 4",3920005090,Нестеровский р-н,,п. Чернышевское,ул. Калининградская,д. 15-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/76,12/03/2014,ООО,"""Оазис""","238320, Калининградская обл., г. Светлый, п. Волочаевское, ул. Центральная, д. 51",3913011760,,Светловский ГО,,ул. Центральная,д. 51,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/511,17/12/2015,ООО,"""Озёрский общепит""","238120, Калининградская обл., г. Озерск, ул. Черняховского, д. 7",3921003219,,г. Озерск,,ул. Советская,д. 8,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/513,17/12/2015,ООО,"""Озёрский уют""","238120, Калининградская обл., г. Озерск, ул. Черняховского, д. 7",3921003201,Озерский р-н,,п. Яблоновка,ул. Центральная,д. 10,,,магазин № 39,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/733,25/11/2012,ООО,"""ОКТАНТ""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 106",3905069572,,г. Калининград,,ул. Черняховского,д. 26,кафе,,,,,,,,,,
39/АЛК/12/43,08/02/2013,ООО,"""Олвисто""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 5/7",3905049865,,г. Калининград,,ул. Черняховского,д. 26,ресторан,,,литер II,,,,,,,
39/АЛК/12/202,20/04/2014,ООО,"""Оливье""","236000, Калининградская обл., г. Калининград, ул. Косм.Леонова, д. 73-77",3904003297,,г. Калининград,,ул. Косм.Леонова,д. 73-77-а,закусочная,,,,,,,,,,
39/АЛК/12/77,28/02/2013,ООО,"""Ольга""","238440, Калининградская обл., Багратионовский р-н, п. Новоселово, ул. Пограничная, д. 6",3915451950,Багратионовский р-н,,п. Новоселово,ул. Центральная,д. 13,,,,,,,,,,,
39/АЛК/09/746,03/12/2012,ООО,"""Ольха""","238500, Калининградская обл., Светловский городской округ, п. Люблино, ул. Гарнизонная, д. 10",3913001560,,Светловский городской округ,п. Люблино,ул. Гарнизонная,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/126,16/03/2017,ООО,"""ОПАЛ""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Кооперативная, д. 22, кв. 4",3917511530,,г. Калининград,,ул. Машиностроительная,д. 62,,,,литер I из лит.А,,,,,,,
39/АЛК/11/760,08/12/2014,ООО,"""Оптовые Ярмарки""","236005, Калининградская обл., г. Калининград, ул. В.Дубинина, д. 8, кв. 2",3906044186,,г. Калининград,,ул. Коммунистическая,д. 23,,,,закусочная,,,,,,,
39/АЛК/08/166,04/06/2013,ООО,"""Орион - Сервис""","238700, Калининградская обл., г. Советск, ул. К.Лямина, д. 3, кв. 51",3911009412,,г. Советск,,ул. Победы,д. 40,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/738,25/11/2016,ООО,"""ОРИОН""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Кооперативная, д. 22, кв. 4",3917511499,,г. Советск,,ул. Матросова,д. 4,,,,,,,,,,,
39/АЛК/12/314,22/06/2013,ООО,"""Остап-торг""","238700, Калининградская обл., г. Советск, ул. М.Горького, д. 7",3911009780,,г. Советск,,ул. М.Горького,д. 7,,,,литер Б,,,,,,,
39/АЛК/09/799,24/12/2012,ООО,"""От заката до рассвета""","236029, г. Калининград, ул.ст. л-та Сибирякова, д. 56, кв. 82",3906155200,,г. Зеленоградск,,ул. Ленина,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/473,26/11/2013,ООО,"""П.В.О.""","236025, г. Калининград, пгт Прегольский, д. 25, кв. 33",3905078961,,г. Калининград,,ул. А.Невского,д. 137-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/97,06/03/2013,ООО,"""ПАВ ' ЕР""","236006, Калининградская обл., г. Калининград, ул. Фрунзе, д. 71",3907016801,,г. Калининград,,ул. Фрунзе,д. 71,кафе,,,литер I,,,,,,,
39/АЛК/10/63,26/02/2013,ООО,"""ПАН""","236000, г. Калининград, ул. Чайковского, д. 20-24",3904609338,,г. Калининград,,ул. Чайковского,д. 20-24,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/532,23/12/2012,ООО,"""Пан-Терра""","236034, г. Калининград, ул. Левитана, д. 51",3906224125,,г. Калининград,,пр-кт Ленинский,д. 21,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/312,19/05/2016,ООО,"""Панама""","236006, Калининградская обл., г. Калининград, ул. 9 Апреля, д. 7",3906092197,,г. Калининград,,ул. Марш.Борзова,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/240,05/05/2013,ООО,"""ПАНОНИЯ""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 20",3906091193,,г. Калининград,,пер. Батальный,д. 4,кафе,,,литер IIа из литера Аа,,,,,,,
39/АЛК/12/92,06/03/2015,ОАО,"""Пансионат ""Балтика""","238550, Калининградская обл., г. Светлогорск, ул. Верещагина, д. 8",3912007810,,г. Светлогорск,,ул. Верещагина,д. 8,ресторан,,,литер Б,,,,,,,
39/АЛК/11/600,02/09/2013,ЗАО,"""Пансионат ""Волна""","238560, Калининградская обл., г. Светлогорск, пр-кт Калининградский, д.68-б",3912001960,,г. Светлогорск,,пр. Калининградский,д. 68-б,,,помещение 2А из А,ресторан,,,,,,,
39/АЛК/08/278,03/09/2013,ООО,"""Патефон инвест""","236039, Калининградская обл., г. Калининград, ул. Багратиона, д. 99",3906087013,,г. Калининград,,ул. Багратиона,д. 99,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/233,05/05/2015,ООО,"""Патио""","238340, Калининградская обл., г. Светлый, ул. Калининградская, д. 15",3913500383,,г. Светлый,,ул. Калининградская,д. 15,кафе,,,помещение IV из А,,,,,,,
39/АЛК/12/255,18/05/2014,ООО,"""Пексима""","238530, Калининградская обл., г. Зеленоградск, ул. Володарского, д. 24-в",3918028213,,г. Зеленоградск,,ул. Володарского,д. 24-в,кафе,,,,,,,,,,
39/АЛК/10/484,03/12/2015,ОАО,"""Первый хлебозавод""","236040, г. Калининград, ул. Ген.Галицкого, д. 16",3906069487,,г. Калининград,,ул. Ген.Галицкого,д. 16,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/536,14/09/2013,ООО,"""Перевозчик""","236030, Калининградская обл., г. Калининград, пр-кт Московский, д. 184",3908015423,,г. Калининград,,пр-кт Московский,д. 184,кафе,,,"литер Г,Г1,Г2",,,,,,,
39/АЛК/11/651,17/10/2012,ЗАО,"""ПЕРСОНАЛ""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 30",3906182940,,г. Калининград,,пр-кт Ленинский,д. 30,ресторан,,1-й подвальный этаж,,,,,,,,
39/АЛК/12/299,08/06/2014,ООО,"""Пикник""","238550, Калининградская обл., г. Светлогорск, ул. Октябрьская, д. 17",3912011816,,г. Светлогорск,,ул. Октябрьская,д. 17,кафе,,,,,,,,,,
39/АЛК/11/446,24/06/2014,ООО,"""Пиллкоппен""","236010, Калининградская обл., г. Калининград, ул. Донская, д. 15, кв. 11",3905073226,Зеленоградский р-н,,п. Морское,"лесничество ""Золотые Дюны""",квартал№12,выдел,"№14, 15","национальный парк ""Куршская коса""",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/644,04/10/2016,ООО,"""ПИНТА""","236025, Калининградская обл., г. Калининград, пгт Прегольский, д. 25, кв. 33",3906234268,,г. Калининград,,ул. Марш.Борзова,д. 93-а,,,,ресторан,,,,,,,
39/АЛК/08/450,17/12/2013,ООО,"""Пионерск -класс""","238540, Калининградская обл., г. Пионерский, ш. Калининградское, д. 2-б",3910999245,,г. Пионерский,,ш. Калининградское,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/537,14/09/2017,ООО,"""Пирамида-Плюс""","238700, Калининградская обл., г. Советск, ул. Солнечная, д. 3, кв. 34",3911009148,,г. Советск,,ул. Каштановая,д. 16,,,,,,,,,,,
39/АЛК/10/13,21/01/2013,ООО,"""Пит-Стоп""","236011, г. Калининград, ул. Аллея Смелых, д. 200-б",3907205189,,г. Калининград,,ул. Аллея Смелых,д. 200-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/836,30/12/2014,ООО,"""Питание и развлечения 1""","236010, Калининградская обл., г. Калининград, ул. Вагоностроительная, д. 49",3905054590,,г. Калининград,,ул. Горького,д. 16-22,кафе,,,литер II с открытой террассой литер а1,,,,,,,
39/АЛК/12/417,01/08/2017,ООО,"""Пицарита""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 20",3906163634,,г. Калининград,,ул. Ялтинская,д. 20-а,закусочная,,,,,,,,,,
39/АЛК/11/759,08/12/2012,ООО,"""Пиццерони-2""","236000, Калининградская обл., г. Калининград, ул. Театральная, д. 30",3905604011,,г. Калининград,,б-р Шевцовой,д. 1,закусочная,,,,,,,,,,
39/АЛК/12/554,25/09/2013,ООО,"""ПЛАНЕТА СПОРТ ПЛЮС""","236041, Калининградская обл., г. Калининград, ул. Старш.Дадаева, д. 1",3906127033,,г. Калининград,,ул. Старш.Дадаева,д. 2-а,буфет,,,"литер А, а,а1",,,,,,,
39/АЛК/11/198,08/04/2014,ООО,"""Плюс Три""","238710, Калининградская обл., г. Неман, ул. Школьная, д. 2, кв. 51",3909000451,,г. Неман,в районе,ул. Красноармейской,,,,магазин,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/102,25/03/2014,ООО,"""Поддубное""","236005, Калининградская обл., г. Калининград, ул. Камская, д. 42",3908040109,Нестеровский р-н,,п. Фурмановка,ул. Центральная,д. 8,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
