Ковылкинский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ций,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
,,,,,"м-н с. Польцо, ул. Центральная, 14, Ковылкинский район",,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" г. Ковылкино, ул. Ленина, 2",2,15/05/12,35-85-10,,
,,000004,"185, филиал г. Пенза, ул. Мусоргского, 26а",,"м-н ""Магнит"", г. Ковылкино, ул. Советская, 7а",,15/03/16,33-03-01,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н п. Силикатный, ул. Луговая, 27, Ковылкинский",3,29/06/12,29-42-75,,
,,000096,"ленная, 7а",,"магазин ""Светлана"", г. Ковылкино, ул. Желябова, 12 в",,16/04/15,29-41-87,,
,,,,,"магазин ""Продукты"", г. Ковылкино, ул. Строителей, 1, 2",,,,,
1,284,13 МЕ,"ООО ТД ""Ламзурь"", г.Саранск, ул.Рабочая, 115",1326179203,"м-н г. Ковылкино, ул. Ленина, 2",1,29/12/10,48-04-98,,
,,001425,,1021300975409,,,30/11/12,24-42-80,,
1,180,13 РМ,"ООО ""Мередиан"", г. Ковылкино, ул. Советская, 9",1323125665,"кафе-бар, г. Ковылкино, ул. Советская, 9",1,29/06/12,89272741581,,Акчурин Альберт Набеулович
,,000070,,1101323000382,,,29/06/13,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазин ""Продукты"", с. Мамолаево, ул. Мичурина, 9, Ковылкинский",2,29/06/12,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",1101327000851,"магазин ""Продукты"", с. Н.Лепьево, ул. Мичурина, 65а, Ковылкинский",,15/07/14,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
27,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
