,, Реестр лицензий на розничную продажу алкогольной продукции на территории Астраханской области ,,,,,
,,,,,,по состоянию на 01.01.2012,
Наименование организации,Рег. номер,ИНН,Место нахождения организации,Выдача,Окончание,Место осуществления деятельности,Номенклатура учреждения
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414000,,,Астрахань г,,Свердлова ул,90,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414004,,,Астрахань г,,Софьи Перовской ул,84,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414000,,,Астрахань г,,Яблочкова ул,36,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414057,,,Астрахань г,,Звездная ул,3,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414004,,,Астрахань г,,Зеленгинская 3-я ул,11,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414032,,,Астрахань г,,Жилая ул,7 ""б"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414029,,,Астрахань г,,Железнодорожная 4-я ул,47 ""г"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414038,,,Астрахань г,,Хибинская ул,49,1,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414016,,,Астрахань г,,Торговая пл,1,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416231,Астраханская обл,,,Черный Яр с,Победы ул,15 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416170,Астраханская обл,,,Володарский пгт,Мичурина ул,21,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414114,Астраханская обл,Приволжский р-н,,Три Протока с,Ленина ул,68 ""б"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416532,Астраханская обл,Ахтубинский р-н,,Нижний Баскунчак пгт,Горького ул,18,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416550,Астраханская обл,,Знаменск г,,Ленина ул,13,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416370,Астраханская обл,,,Икряное с,Пугачева ул,26,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416450,Астраханская обл,,,Началово с,Ленина ул,59,,",магазин
"ЗАО ПКФ ""Элленг""",0022-Кир,3015051772,"г. Астрахань, Бехтерева, 21а, ,",24.04.07,24.04.12,",414014,,,Астрахань г,,Бехтерева ул,21А,,",кафе
"ЗАО ТПФ ""Астраханьтрансройл"" ""Астраханводстрой""",0119-Тр,3018012309,"г. Астрахань, ул. 5-Керченская, 2, ,",26.03.08,26.03.13,",414015,,,Астрахань г,,Керченская 5-я ул,16,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416415,Астраханская обл,Лиманский р-н,,Камышово с,Советская ул,144,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Колхозная ул,1,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Советская ул,129,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,36,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,26,,",предпрятие общественного питания
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,28,,",магазин
Зареченское потребительское общество,005-Л,3007000125,",416433,Астраханская обл,Лиманский р-н,,Заречное с,Матросова ул,,,",20.09.10,22.06.14,",416431,Астраханская обл,Лиманский р-н,,Проточное с,Кооперативная ул,21 ""а"",,",магазин
Ильинское потребительское общество,033-И,3004000350,"р. п. Ильинка, ул. Ленина, 35, ,",20.05.10,11.07.14,",416357,Астраханская обл,Икрянинский р-н,,Ильинка пгт,Кирова ул,6 ""б"",,",магазин
Ильинское потребительское общество,033-И,3004000350,"р. п. Ильинка, ул. Ленина, 35, ,",20.05.10,11.07.14,",414017,Астраханская обл,,Астрахань г,,Таганская ул,26,,",магазин
Камызякское ГорПО,039-К,3005000539,"416300, Астраханская обл, Камызяк г, ул. А.П. Гужвина, д.1",27.10.10,06.04.12,"416300, Астраханская обл, Камызяк г, А.П. Гужвина, д.1",магазин
Камызякское ГорПО,039-К,3005000539,"416300, Астраханская обл, Камызяк г, ул. А.П. Гужвина, д.1",27.10.10,06.04.12,",416300,Астраханская обл,,Камызяк г,,Чапаева ул,31 ""а"",,",магазин
Каралатское сельское потребительское общество,040-К,3005000232,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Степная ул,6,,",03.04.07,03.04.12,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Ленина ул,55,,",предпрятие общественного питания
Каралатское сельское потребительское общество,040-К,3005000232,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Степная ул,6,,",03.04.07,03.04.12,",416307,Астраханская обл,Камызякский р-н,,Парыгино с,Джамбула ул,14,,",магазин
Каралатское сельское потребительское общество,040-К,3005000232,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Степная ул,6,,",03.04.07,03.04.12,",416307,Астраханская обл,Камызякский р-н,,Чапаево с,Заводская ул,28,,",магазин
Каралатское сельское потребительское общество,040-К,3005000232,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Степная ул,6,,",03.04.07,03.04.12,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Ленина ул,58,,",магазин
Каралатское сельское потребительское общество,040-К,3005000232,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Степная ул,6,,",03.04.07,03.04.12,",416308,Астраханская обл,Камызякский р-н,,Каралат с,Комсомольская ул,43,а,",магазин
