,,,,,,,,,,,,,,,,,,,,
"Сведения о выданных (продленных), переоформленных, приостановленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции,",,,,,,,,,,,,,,,,,,,,
"а также о лицензиях, действие которых прекращено по истечению срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующим ",,,,,,,,,,,,,,,,,,,,
"органом решения о досрочном прекращении действия такой лицензии на основании заявления организации, по состоянию на 08.10.2012 г.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Лицензиат,,,ИНН,КПП,Адрес юридический,Адрес осуществления деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, Число, год)","Дата прекращения действия (месяц, число, Год)","Дата анулирования (месяц, число, год)",Контактный телефон,Руководитель,"Орган исполнительной власти, выдавший лицензию"
4827,"МУП ""Гарант"" Липецкого района Липецкой области",,,4813002001,481301001,"398510, Липецкая обл, Липецкий р-н, Боринское с, Луначарского ул, дом № 13","398902, Липецкая обл, Липецк г, Ударников ул, дом № 20а",48,39,ПВ,0000158,03.02.2009,03.01.2010,,,,,(4742) 40-02-67,Смирная Любовь Николаевна,Управление потребительского рынка Липецкой области
4830,"МУП ""Комбинат питания"" г.Ельца",,,4821011680,,"399774, Липецкая обл, Елецкий р-н, Елец г, Радиотехническая ул, дом № 1 ""б""","399774, Липецкая обл, Елецкий р-н, Елец г, Радиотехническая ул, дом № 1-б",48,473,Г,599857,07.18.2003,07.18.2006,,,,,(47467) 2-40-46,Шеренговская Надежда Алексеевна,Департамент потребительского рынка адм. Липецкой области
4835,"МУП ""магазин ""Наш огород""",,,4826000097,,"398000, Липецкая обл, Липецк г, Московская ул, дом № 5",г.Липецк ул.Московская д.5,48,591,Г,603943,07.19.2002,07.19.2003,,,,,(4742) 33-03-27,Филонова Галина Никоваевна,Управление лицензирования администрации Липецкой области
4840,"МУП ""Торговля и бытовые услуги""",,,4811007501,,"399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Советская ул, дом № 91","399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Советская ул, дом № 91",48,121,Д,476868,04.26.2006,04.26.2011,,,,,(47466) 5-24-94,Муковозов Олег Викторович,Департамент потребительского рынка адм. Липецкой области
4841,"МУП магазин ""Дары Осени""",,,4824000172,,"398046, Липецкая обл, Липецк г, 15-й мкр, дом № 8",г.Липецк ул.15 микрорайон д.8,48,177,Г,599278,12.11.2002,12.11.2003,,,,,(4742) 41-56-12,Семиколенова Раиса Ивановна,Департамент потребительского рынка адм. Липецкой области
4844,"МУП магазин ""Овощи""",,,4826020488,,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 33/4","398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 33/4",48,293,Г,599671,04.30.2003,04.30.2004,,,,,(4742) 35-45-22,Мещерякова Александра Павловна,Департамент потребительского рынка адм. Липецкой области
4845,"МУП магазин ""Осенний сад""",,,4826016996,,"398902, Липецкая обл, Липецк г, Детская ул, дом № 13",г.Липецк ул.Детская д.13,48,415,Г,603700,05.08.2002,05.08.2003,,,,,(4742) 40-03-16,Самохина Антонина Григорьевна,Управление лицензирования администрации Липецкой области
4847,"МУП магазин ""Ягодка""",,,4826006892,,"398059, Липецкая обл, Липецк г, 8 Марта ул, дом № 20",г.Липецк ул.8 Марта д.20,48,193,Г,599290,12.17.2002,12.17.2003,,,,,(4742) 77-65-34,Буева Галина Михайловна,Департамент потребительского рынка адм. Липецкой области
4852,"МУП общественного питания ""Котлетное"" г.Ельца",,,4821003457,,"399774, Липецкая обл, Елецкий р-н, Елец г, Советская ул, дом № 48","399774, Липецкая обл, Елецкий р-н, Елец г, Советская ул, дом № 48",48,233,Г,599332,12.25.2002,12.25.2003,,,,,(47467) 2-30-71,Дорошенко Зоя Семеновна,Департамент потребительского рынка адм. Липецкой области
4854,Новозадонское ПО,,,4808004589,480801001,"399201, Липецкая обл, Задонский р-н, Задонск г, Советская ул, дом № 27",Согласно выданным копиям,48,63,Г,603202,01.23.2002,01.23.2005,,,,,(47471) 2-18-60; 2-15-85,Путилин Сергей Евгеньевич,Управление лицензирования администрации Липецкой области
5424,"ОАО ""Агропромышленное объединение ""Аврора""",,,4825003761,,"398600, Липецкая обл, Липецк г, Поперечный проезд, дом № 3",г.Липецк ул.Московская д.61Д,48,121,Г,599208,11.04.2002,11.04.2003,,,,,(4742) 34-60-20,Уваркин Сергей Николаевич,Департамент потребительского рынка адм. Липецкой области
5428,"ОАО ""Грязинский культиваторный завод""",,,4802002850,,"399059, Липецкая обл, Грязинский р-н, Грязи г, Гагарина ул, дом № 1а",г.Грязи ул.Гагарина д.1-а,48,425,Г,603711,05.16.2002,05.16.2005,,,,,(47461) 2-07-75,Анисимов Николай Васильевич,Управление лицензирования администрации Липецкой области
5529,"ОАО ""Интурист - Елец""",,,4821020773,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 14","399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 14",48,272,ПВ,0000846,10.06.2011,10.05.2012,,,,,(47467) 2-23-10,Краснов Сергей Алексеевич,Управление потребительского рынка и ценовой политики Липецкой области
5531,"ОАО ""Комплекс-Советский""",,,4826018672,482201001,"398050, Липецкая обл, Липецк г, Ворошилова ул, дом № 5",г.Липецк ул.Ворошилова д.5,48,387,Г,603658,04.26.2002,04.26.2005,,,,,(4742) 77-82-21,Позднякова Валентина Михайловна,Управление лицензирования администрации Липецкой области
5534,"ОАО ""Лебедянский сахарный завод""",,,4811005871,481101001,"399610, Липецкая обл, Лебедянский р-н, Сахзавода п, Заводская пл, дом № 1","399610, Липецкая обл, Лебедянский р-н, Сахзавода п, Заводская пл, дом № 4",48,475,Д,476466,08.30.2005,08.30.2008,,,,,(47466) 9-35-05,Рудяков Иван Михайлович,Департамент потребительского рынка адм. Липецкой области
5540,"ОАО ""Липецкая конструкция""",,,4822000272,,"398059, Липецкая обл, Липецк г, Советская ул, дом № 4",г.Липецк ул.Меркулова АЗС,48,36,Г,603163,01.16.2002,01.16.2003,,,,,(4742) 32-00-94,Синюкова Татьяна Юньевна,Управление лицензирования администрации Липецкой области
5647,"ОАО ""Липецккомплекс""",,,4826007984,,"398531, Липецкая обл, Липецкий р-н, Ленино с",По месту нахождения обособ.подразд.,48,224,Г,603450,03.13.2002,03.13.2003,,,,,(4742) 46-43-90,Хрипченко Алексей Иванович,Управление лицензирования администрации Липецкой области
5708,"ОАО ""Липецкоблснаб""",,,4826001943,,"398048, Липецкая обл, Липецк г, Задорожная ул, дом № 24",г.Липецк ул.Задорожная д.24,48,529,Г,603851,06.27.2002,06.27.2003,,,,,(4742) 34-74-34,Сенчеков Владимир Васильевич,Управление лицензирования администрации Липецкой области
5716,"ОАО ""Липецкэлектросвязь""",,,4825007766,,г.Липецк ул.Зегеля д.2,г.Липецк ул.Плеханова д.5,48,152,Г,603328,02.13.2002,02.13.2003,,,,,72-02-20,Николаев Валерий Георгиевич,Управление лицензирования администрации Липецкой области
5717,"ОАО ""НЛМК""",,,4823006703,482201001,"398005, Липецкая обл, Липецк г, Металлургов пл, дом № 2",Грязинский р-н пос.Сухоборье,48,354,Г,603615,04.11.2002,04.11.2005,,,,,(4742) 44-48-24,Кравченко Александр Иванович,Управление лицензирования администрации Липецкой области
5735,"ОАО ""Пометко и К""",,,4824006128,,"398046, Липецкая обл, Липецк г, Водопьянова ул, дом № 15",г.Липецк ул.Водопьянова д.15,48,84,Г,603243,01.30.2002,01.30.2003,,,,,(4742) 46-44-05,Присекина Лариса Александровна,Управление лицензирования администрации Липецкой области
5805,"ОАО ""Становлянский спиртовый завод""",,,4814000085,,Становлянский район с.Кириллово,с.Измалково ул.Ленина д.22,48,437,Г,603749,05.24.2002,05.24.2005,,,,,2-87-45,Герасимов Валерий Алексеевич,Управление лицензирования администрации Липецкой области
5806,"ОАО ""Талицкий мясокомбинат""",,,4804001516,,"399450, Липецкая обл, Добринский р-н, Талицкий Чамлык с, Парковая ул, дом № 7","399450, Липецкая обл, Добринский р-н, Талицкий Чамлык с, Парковая ул, дом № 7",48,721,Д,235118,12.18.2003,12.18.2006,,,,,(47462) 4-63-98,Стрельникова Светлана Андреевна,Департамент потребительского рынка адм. Липецкой области
5807,"ОАО ""Торнадо-М""",,,4826036625,,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 110",г.Липецк ул.Космонавтов д.110,48,257,Г,599357,12.30.2002,12.30.2005,,,,,(4742) 33-30-30,Мелкунян Самвел Рубенович,Департамент потребительского рынка адм. Липецкой области
5810,"ОАО ""Центральный универмаг""",,,4826006860,,"398050, Липецкая обл, Липецк г, Плеханова пл, дом № 5",г.Липецк пл.Плеханова д.5,48,386,Г,603656,04.24.2002,04.24.2003,,,,,(4742) 27-03-33,Афанасьев Андрей Александрович,Управление лицензирования администрации Липецкой области
5813,"ОАО ""Экспериметально-консервный завод ""Лебедянский""",,,4811000739,481101001,"399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Матросова ул, дом № 7",г.Лебедянь ул.Интернациональная торговые ряды,48,442,Г,603737,05.24.2002,05.24.2005,,,,,(47466) 3-44-42,Подчепаев Сергей Алексеевич,Управление лицензирования администрации Липецкой области
5817,"ОАО мясокомбинат ""Елецкий""",,,4821002260,,"399774, Липецкая обл, Елецкий р-н, Елец г, Промышленная ул, дом № 90","399788, Липецкая обл, Елецкий р-н, Елец г",48,5,Г,603107,01.04.2002,01.04.2005,,,,,(47467) 2-06-67,Дорохин Иван Данилович,Управление лицензирования администрации Липецкой области
5821,"ОАО по газификации и эксплуатации газового хозяйства Липецкой области ""Липецкоблгаз""",,,4824003938,482401001,"398059, Липецкая обл, Липецк г, Неделина ул, дом № 25",г.Липецк ул.Фрунзе д.11,48,146,Г,603322,02.12.2002,02.12.2003,,,,,(4742) 23-85-85; 41-89-16,Карасиков Сергей Николаевич,Управление лицензирования администрации Липецкой области
5844,"ОАО фирма ""Липецкметаллургторгсервис""",,,4823000772,,"398006, Липецкая обл, Липецк г, Суворова ул, дом № 28",г.Липецк ул.Суворова д.28,48,291,Г,603541,03.29.2002,03.29.2005,,,,,(4742) 43-06-59,Чекчурин Валерий Иванович,Управление лицензирования администрации Липецкой области
5860,"Областное государственное казенное предприятие ""Липецкий аэропорт""",,,4813005972,481301001,"Липецкая обл, Липецкий р-н, Кузьминские Отвержки с, Аэропорт","Липецкая обл, Липецкий р-н, Копцевы Хутора с, участок № 1",48,222,Д,475971,08.07.2008,08.06.2013,,,,,(4742) 38-14-58,Малахов Владимир Иванович,Управление потребительского рынка Липецкой области
5861,"ОГУП ""Плавицкий спиртовый завод""",,,4804005045,,"399420, Липецкая обл, Добринский р-н, Плавица ст","399420, Липецкая обл, Добринский р-н, Плавица ст",48,148,Г,599519,03.19.2003,03.19.2006,,,,,(47462) 3-81-38,Юрин Владимир Иванович,Департамент потребительского рынка адм. Липецкой области
5862,"ОГУП сельскохозяйственного назначения ""Россия""",,,4802005410,,Грязинский р-н ст.Казинка,г.Грязи ул.Воровского,48,366,Г,603633,04.18.2002,04.18.2005,,,,,43-17-07,Фурсов Александр Семенович,Управление лицензирования администрации Липецкой области
5863,"ООО ""21 Век""",,,4802009710,480201001,"399059, Липецкая обл, Грязинский р-н, Грязи г, 30 лет Победы ул, дом № 67","399059, Липецкая обл, Грязинский р-н, Грязи г, 30 лет Победы ул, дом № 67",48,94,Д,476844,04.17.2006,04.17.2011,,,,,(47461) 2-48-17; 89205135815,Горина Ирина Федоровна,Департамент потребительского рынка адм. Липецкой области
5866,"ООО ""31 Магазин и К""",,,4824036637,482401001,"398013, Липецкая обл, Липецк г, Ильича ул, дом № 10","398013, Липецкая обл, Липецк г, Ильича ул, дом № 10",48,339,Д,475104,07.12.2006,07.12.2011,,,,,(4742) 73-09-67; 89202404181,Барбашина Нина Михайловна,Департамент потребительского рынка адм. Липецкой области
5868,"ООО ""48Регион""",,,4802023730,480201001,"399059, Липецкая обл, Грязинский р-н, Грязи г, Коммунальная ул, дом № 11/5","399059, Липецкая обл, Грязинский р-н, Грязи г, Коммунальная ул, дом № 11/5",48,55,ПВ,0001015,03.19.2012,03.18.2013,,,,,(47461) 2-10-78; 89513028417,Шашин Олег Валентинович,Управление потребительского рынка и ценовой политики Липецкой области
5878,"ООО ""АБ Ника""",,,4826027268,,"398000, Липецкая обл, Липецк г, Московская ул, дом № 12",г.Липецк ул.Московская д.12,48,257,Г,603499,03.22.2002,03.22.2003,,,,,(4742) 33-31-78,Безгребельный Сергей Александрович,Управление лицензирования администрации Липецкой области
5880,"ООО ""Абриколь""",,,4824045430,482401001,"398000, Липецкая обл, Липецк г, Имени Павла Шубина бул., дом № 13а","398000, Липецкая обл, Липецк г, Имени Павла Шубина бул, дом № 13а",48,62,ПВ,0000179,04.06.2009,04.05.2014,03.22.2012,04.05.2012,,,(4742) 79-95-87,Харитонов Александр Васильевич,Управление потребительского рынка Липецкой области
5881,"ООО ""Абсолют""",,,4826031786,,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 43",г.Липецк ул.Космонавтов д.43,48,314,Г,603562,04.02.2002,04.02.2003,,,,,(4742) 31-28-28,Басова Любовь Александровна,Управление лицензирования администрации Липецкой области
