,,,,,,,,,,,,,,,,,,,,
"Сведения о выданных (продленных), переоформленных, приостановленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции,",,,,,,,,,,,,,,,,,,,,
"а также о лицензиях, действие которых прекращено по истечению срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующим ",,,,,,,,,,,,,,,,,,,,
"органом решения о досрочном прекращении действия такой лицензии на основании заявления организации, по состоянию на 08.10.2012 г.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Лицензиат,,,ИНН,КПП,Адрес юридический,Адрес осуществления деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, Число, год)","Дата прекращения действия (месяц, число, Год)","Дата анулирования (месяц, число, год)",Контактный телефон,Руководитель,"Орган исполнительной власти, выдавший лицензию"
11263,"ООО ""СПЕКТР""",,,4802009816,480401001,"399431, Липецкая обл, Добринский р-н, Добринка п, 8 Марта ул, дом № 4","399431, Липецкая обл, Добринский р-н, Добринка п, М.Горького ул, дом № 12",48,557,Д,475313,10.20.2006,10.20.2011,,,,,(47462) 2-38-22,Шагаев Александр Николаевич,Департамент потребительского рынка Липецкой области
11279,"ООО ""Спрос""",,,4826020343,,г.Липецк ул.Космонавтов д.2,г.Липецк ул.Осипенко д.9,48,421,Г,603706,05.14.2002,05.14.2003,,,,,43-06-85,Рогачева Елена Викторовна,Управление лицензирования администрации Липецкой области
11283,"ООО ""Стандарт""",,,4807007308,,"399510, Липецкая обл, Долгоруковский р-н, Долгоруково с, Советская ул, дом № 51а","399510, Липецкая обл, Долгоруковский р-н, Долгоруково с, Ленина ул, дом № 61",48,704,Д,476711,12.30.2005,12.30.2008,,,,,(47468) 2-17-62,Яньшин Николай Иванович,Департамент потребительского рынка адм. Липецкой области
11284,"ООО ""Стандарт""",,,4824036429,482401001,"398000, Липецкая обл, Липецк г, 60 лет СССР пр-кт, строение 9Б","398000, Липецкая обл, Липецк г, 60 лет СССР пр-кт, строение 9Б",48,317,Д,475057,06.30.2006,06.30.2011,,,,,(4742) 79-06-57,Кожакин Геннадий Викторович,Департамент потребительского рынка адм. Липецкой области
11285,"ООО ""Становлянский заготовитель""",,,4825041911,482501001,"398600, Липецкая обл, Липецк г, Универсальный проезд, дом № 2","399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул, дом № 94",48,79,ПВ,0000463,05.21.2010,05.20.2011,,,,,(4742) 36-15-91,Дроздецкая Елена Николаевна,Управление потребительского рынка Липецкой области
11288,"ООО ""Старая мельница""",,,4824036034,,"398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 93-Б","398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 93-Б",48,307,Д,475045,06.30.2006,06.30.2011,,,,,(4742) 45-50-76,Ефремов Александр Степанович,Департамент потребительского рынка адм. Липецкой области
11294,"ООО ""Стас""",,,4802010547,480401001,"399441, Липецкая обл, Добринский р-н, Пушкино с, Мира ул, дом № 37-а","399441, Липецкая обл, Добринский р-н, Пушкино с, Мира ул, дом № 37-а",48,120,Д,475548,06.19.2007,06.19.2012,,,,,21475 89038664691,Суховольский Станислав Александрович,Управление потребительского рынка Липецкой области
11307,"ООО ""Стейк-Хаус""",,,4824024222,482401001,"398046, Липецкая обл, Липецк г, 60 лет СССР пр-кт, дом № 20 ""а""",г.Липецк пр.60 лет СССР д.20-а,48,120,Г,603288,02.06.2002,02.06.2003,,,,,(4742) 78-23-85,Кляхина Ольга Александровна,Управление лицензирования администрации Липецкой области
11314,"ООО ""Стимул""",,,4823035060,482301001,"398000, Липецкая обл, Липецк г, Моршанская ул, дом № 9","398032, Липецкая обл, Липецк г, Циолковского ул, дом № 26",48,133,ПВ,0000510,09.02.2010,09.01.2011,,,,,(4742) 34-73-06; 34-89-10; 35-32-22; 892065114292,Сафрыгин Алексей Владимирович,Управление потребительского рынка и ценовой политики Липецкой области
11392,"ООО ""Столовая Ельчанка""",,,4821018157,,"399774, Липецкая обл, Елецкий р-н, Елец г, Свердлова ул, дом № 25","399774, Липецкая обл, Елецкий р-н, Елец г, Ленина пл, дом № 71",48,36,Д,475465,02.27.2007,02.27.2012,,,,,2-84-00,Голикова Елена Юрьевна,Департамент потребительского рынка Липецкой области
11393,"ООО ""Столовая Плюс""",,,4823028320,,"398908, Липецкая обл, Липецк г, Виноградный пер, дом № 21","398908, Липецкая обл, Липецк г, Энергостроителей ул, дом № 7-а",48,565,Д,475321,11.02.2006,11.02.2011,,,,,(4742) 70-96-22,Баев Анатолий Васильевич,Департамент потребительского рынка Липецкой области
11394,"ООО ""Столовая""",,,4821017883,,"399774, Липецкая обл, Елецкий р-н, Елец г, Советская ул, дом № 48","399774, Липецкая обл, Елецкий р-н, Елец г, Советская ул, дом № 48",48,51,Д,475470,03.15.2007,03.15.2012,,,,,2-30-71,Саакян Вардес Миронович,Управление потребительского рынка Липецкой области
11400,"ООО ""Стрелец""",,,4808003426,480801001,"399201, Липецкая обл, Задонский р-н, Задонск г, Крупской ул, дом № 58",г.Задонск ул.Крупской д.58,48,589,Г,603941,07.19.2002,07.19.2005,,,,,(47471) 2-31-06,Валуйкина Валентина Ивановна,Управление лицензирования администрации Липецкой области
11408,"ООО ""Стрелецкий""",,,4811009435,480301001,"399850, Липецкая обл, Данковский р-н, Данков г, Московская ул, дом № 134","399850, Липецкая обл, Данковский р-н, Данков г, Московская ул, дом № 134",48,195,Д,475621,09.21.2007,09.21.2012,,,,,89103509643,Кряшев Николай Анатольевич,Управление потребительского рынка Липецкой области
11409,"ООО ""Строитель""",,,4807007347,481501001,"399540, Липецкая обл, Тербунский р-н, Тербуны с, Советская ул, дом № 8","399540, Липецкая обл, Тербунский р-н, Тербуны с, Мира ул",48,239,Д,475675,11.16.2007,11.16.2012,,,,,(47474) 2-19-51,Кащеев Николай Петрович,Управление потребительского рынка Липецкой области
11413,"ООО ""СТФ""",,,4821013590,,г.Елец ул.Коммунаров д.103-б кв.109,"г,Елец ул.А.Гейтеровой д.6",48,627,Г,603994,08.02.2002,08.02.2005,,,,,2-47-26,Филатова Елена Гавриловна,Управление лицензирования администрации Липецкой области
11414,"ООО ""Стэлс""",,,4804010951,480401001,"399450, Липецкая обл, Добринский р-н, Талицкий Чамлык с, Советская ул","399450, Липецкая обл, Добринский р-н, Талицкий Чамлык с, Советская ул, дом № 18",48,35,ПВ,0000988,02.15.2012,02.14.2013,,,,,89042835664,Нестерова Татьяна Васильевна,Управление потребительского рынка и ценовой политики Липецкой области
11415,"ООО ""Сударушка""",,,4825027642,,"398007, Липецкая обл, Липецк г, 40 лет Октября ул, дом № 23",г.Липецк ул.40 лет Октября д.23,48,316,Г,603564,04.03.2002,04.03.2003,,,,,(4742) 48-09-25,Запорожец Татьяна Григорьевна,Управление лицензирования администрации Липецкой области
11420,"ООО ""Сударь""",,,4826067172,482601001,"398059, Липецкая обл, Липецк г, Советская ул, дом № 7","398059, Липецкая обл, Липецк г, Советская ул, дом № 7",48,90,ПВ,0000211,05.28.2009,05.27.2014,,,,,(4742) 77-66-00,Чернуха Марина Дмитриевна,Управление потребительского рынка Липецкой области
11426,"ООО ""Супермаркет ""Слобода""",,,4826036777,,"398002, Липецкая обл, Липецк г, Липовская ул, дом № 5",г.Липецк ул.Липовская д.5,48,174,Г,599298,12.24.2002,12.24.2005,12.25.2003,12.29.2003,,,(4742) 72-47-71,Назаров Александр Васильевич,Департамент потребительского рынка адм. Липецкой области
11434,"ООО ""Таира""",,,4807012241,481401001,"399702, Липецкая обл, Становлянский р-н, Толстая Дубрава с","399702, Липецкая обл, Становлянский р-н, Толстая Дубрава с",48,283,ПВ,0000034,10.17.2008,10.16.2013,,,,,(47476) 2-83-24,Трефилова Ирина Андреевна,Управление потребительского рынка Липецкой области
11444,"ООО ""Талисман""",,,4823023191,,"398005, Липецкая обл, Липецк г, Мира пр-кт, дом № 13","398005, Липецкая обл, Липецк г, Мира пр-кт, дом № 13",48,678,Д,235080,12.01.2003,12.01.2004,,,,,(4742) 43-09-77,Козина Лариса Ивановна,Департамент потребительского рынка адм. Липецкой области
11446,"ООО ""Талисман""",,,4807008887,480101001,"399580, Липецкая обл, Воловский р-н, Волово с, Советская ул, дом № 107","399580, Липецкая обл, Воловский р-н, Волово с, Советская ул, дом № 107",48,109,Д,476860,04.24.2006,04.24.2011,,,,,(47473) 2-11-90,Моисеев Александр Егорович,Департамент потребительского рынка адм. Липецкой области
11447,"ООО ""Талисман""",,,4813008927,480501001,"399151, Липецкая обл, Добровский р-н, Трубетчино с, Ильича ул","399151, Липецкая обл, Добровский р-н, Трубетчино с, Ильича ул",48,351,Д,475089,07.10.2006,07.10.2011,,,,,(47463) 4-01-65; 89205075603,Копытина Ольга Алексеевна,Департамент потребительского рынка адм. Липецкой области
11509,"ООО ""ТАНАИС""",,,4816010586,480801001,"399200, Липецкая обл, Задонский р-н, Задонск г, Степанищева ул, дом № 19","399200, Липецкая обл, Задонский р-н, Задонск г, Степанищева ул, дом № 19",48,45,ПВ,0000163,03.03.2009,03.02.2014,,,,,89205016555,Мишустина Наталья Юрьевна,Управление потребительского рынка Липецкой области
11790,"ООО ""Тандер-Липецк-8""",,,4824025265,,г.Липецк ул.Стаханова д.21,г.Липецк ул.Стаханова д.21,48,602,Г,603959,07.24.2002,07.24.2003,,,,,40-29-50,Братчиков Евгений Анатольевич,Управление лицензирования администрации Липецкой области
11792,"ООО ""Татьяна""",,,4815002631,481501001,"399540, Липецкая обл, Тербунский р-н, Тербуны с, Октябрьская ул, дом № 39а","399540, Липецкая обл, Тербунский р-н, Тербуны с, Октябрьская ул, дом № 39а",48,496,Г,603801,06.13.2002,06.13.2005,,,,,(47474) 2-11-64,Чамурлиев Валерий Ираклиевич,Управление лицензирования администрации Липецкой области
11797,"ООО ""Татьяна""",,,4825044165,,"398600, Липецкая обл, Липецк г, Товарный проезд, дом № 2","398000, Липецкая обл, Липецк г, Товарный проезд, строение 2",48,37,Д,476782,03.01.2006,03.01.2011,,,,,(4742) 72-54-64,Ромакина Татьяна Тимофеевна,Департамент потребительского рынка адм. Липецкой области
11808,"ООО ""ТАТЬЯНА""",,,4813010475,,"398517, Липецкая обл, Липецкий р-н, Косыревка с, Новая ул, дом № 19","398517, Липецкая обл, Липецкий р-н, Косыревка с, Новая ул, дом № 19",48,3,Д,475745,01.11.2008,01.11.2013,,,,,75-14-32,Горлов Александр Николаевич,Управление потребительского рынка Липецкой области
11824,"ООО ""ТАУРУС""",,,4826040156,,г.Липецк ул.Я.Берзина д.9-А,г.Липецк ул.Я.Берзина д.9-А,48,638,Д,235866,11.30.2004,11.30.2005,,,,,,дир.Польшина Елена Анатольевна,Департамент потребительского рынка адм. Липецкой области
11825,"ООО ""Ташкент-Л""",,,4825030243,,"398007, Липецкая обл, Липецк г, Заводская пл, дом № 1",г.Липецк пл.Заводская д.1,48,258,Г,603500,03.25.2002,03.25.2003,,,,,(4742) 71-30-86,Кулаков Владимир Михайлович,Управление лицензирования администрации Липецкой области
11844,"ООО ""ТД ""Липецкэнерго""",,,4824014873,,г.Липецк ул.50 лет НЛМК д.33,г.Липецк ул.Я.Берзина д.9-а,48,475,Г,603779,06.04.2002,06.04.2005,,,,,31-14-21,Собчук Надежда Дмитриевна,Управление лицензирования администрации Липецкой области
11850,"ООО ""ТДК ""Энергия""",,,4825027988,,г.Липецк ул.Газина д.9 кв.30,с.Доброе пер.Советский,48,38,Г,599111,09.16.2002,09.16.2005,,,,,48-14-99,дир.Швецов Иван Андреевич,Департамент потребительского рынка адм. Липецкой области
11851,"ООО ""Тейсти Фуд""",,,4027080473,402701001,"Калуга г, Анненки ул, дом № 3","398000, Липецкая обл, Липецк г, Валентина Скороходова ул, дом № 1 ""Б""",48,277,Д,475699,12.11.2007,12.11.2012,,,,,(4742) 23-47-68,Дейченков Сергей Александрович,Управление потребительского рынка Липецкой области
11858,"ООО ""Теремок""",,,4825025540,,"398000, Липецкая обл, Липецк г, Московская ул, дом № 8","399613, Липецкая обл, Лебедянский р-н, Лебедянь г, Школьная-Машиностроителей ул",48,414,Г,599794,06.26.2003,06.26.2006,05.30.2006,,,,(4742) 33-90-02,Холзаков Николай Гаврилович,Департамент потребительского рынка адм. Липецкой области
11861,"ООО ""Теремок"" ",,,4807009150,481501001,"399540, Липецкая обл, Тербунский р-н, Тербуны с, Репина ул, дом № 1-а","399540, Липецкая обл, Тербунский р-н, Тербуны с, Репина ул, дом № 1-а",48,165,Д,476910,05.25.2006,05.25.2011,,,,,(47474) 2-29-09,Володин Владимир Васильевич,Департамент потребительского рынка адм. Липецкой области
11862,"ООО ""Теремок"" ",,,4807008573,,"399768, Липецкая обл, Елецкий р-н, Казаки с, Заводская ул","399768, Липецкая обл, Елецкий р-н, Казаки с, Заводская ул",48,176,Д,476929,06.07.2006,06.07.2011,,,,,(47467) 9-66-71,Антипов Иван Анатольевич,Департамент потребительского рынка адм. Липецкой области
11880,"ООО ""ТехИмСнаб""",,,7718151513,,"Москва г, Молодцова ул, дом № 21",г.Елец ул.Свердлова д.25,48,73,Г,599154,10.04.2002,10.04.2005,,,,,785-31-90,Якименко Виктор Андреевич,Департамент потребительского рынка адм. Липецкой области
11882,"ООО ""Тиас""",,,4821006218,,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 14",г.Елец ул.Коммунаров д.14,48,40,Г,603168,01.17.2002,01.17.2005,,,,,(47467) 2-60-35,Мартиросова Надежда Сергеевна,Управление лицензирования администрации Липецкой области
11886,"ООО ""Тирс""",,,4824019825,,"398006, Липецкая обл, Липецк г, Юбилейная ул, дом № 3",г.Липецк ул.Юбилейная д.3,48,203,Д,235407,04.28.2004,04.28.2007,,,,,73-02-00,Кондраева Зинаида Васильевна,Департамент потребительского рынка адм. Липецкой области
11892,"ООО ""Тихий""",,,4821017918,481101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Новоселов ул, дом № 23","399774, Липецкая обл, Елецкий р-н, Елец г, Новоселов ул, дом № 23",48,426,Д,475183,07.31.2006,07.31.2011,,,,,(47467) 2-44-87; 89103505426,Белов Владимир Иванович,Департамент потребительского рынка Липецкой области
11900,"ООО ""Толедо""",,,4825053836,482501001,"398050, Липецкая обл, Липецк г, Ленина ул, дом № 11","398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 98",48,234,Д,475660,11.01.2007,11.01.2012,,,,,(4742) 27-12-53; 32-78-25,Сезонова Ирина Владимировна,Управление потребительского рынка Липецкой области
11901,"ООО ""Тонус""",,,4811001370,,"399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Школьная ул, дом № 1",г.Лебедянь ул.Школьная д.1,48,161,Г,603337,02.15.2002,02.15.2003,,,,,(47466) 5-60-00,Иссветаев Сергей Владимирович,Управление лицензирования администрации Липецкой области
11905,"ООО ""Торг-Сервис""",,,4821018020,,"399774, Липецкая обл, Елецкий р-н, Елец г, Барковского ул, дом № 3","399774, Липецкая обл, Елецкий р-н, Елец г, Барковского ул, дом № 3",48,422,Д,475165,07.26.2006,07.26.2011,,,,,(47467) 5-33-68,Низова Елена Алексеевна,Департамент потребительского рынка Липецкой области
11906,"ООО ""ТоргАгро""",,,4807007386,,"399716, Липецкая обл, Становлянский р-н, Тростное с","399716, Липецкая обл, Становлянский р-н, Тростное с",48,227,Д,475654,10.23.2007,10.23.2012,,,,,(47476) 2-79-38,Невструев Олег Анатольевич,Управление потребительского рынка Липецкой области
11907,"ООО ""Торгмастер""",,,4825038355,482501001,"398016, Липецкая обл, Липецк г, Гагарина ул, дом № 102","398059, Липецкая обл, Липецк г, Советская ул, дом № 7",48,643,Д,476643,11.30.2005,11.30.2008,,,,,(4742) 36-87-79,Ахматова Нина Александровна,Департамент потребительского рынка адм. Липецкой области
11917,"ООО ""Торговая компания ""Юллина""",,,4813007994,481301001,"398533, Липецкая обл, Липецкий р-н, Сырское с, Советская ул, дом № 115-б","398533, Липецкая обл, Липецкий р-н, Сырское с, Советская ул, дом № 115-б",48,198,Д,476951,06.16.2006,06.16.2011,,,,,(4742) 37-95-70,Смыков Владислав Александрович,Департамент потребительского рынка адм. Липецкой области
11920,"ООО ""Торговое предприятие  ""КОНДИ""",,,4824024230,482401001,"398046, Липецкая обл, Липецк г, 60 лет СССР пр-кт, дом № 20 ""а""",г.Липецк пр.60 лет СССР д.20-а,48,119,Г,603287,02.06.2002,02.06.2003,,,,,(4742) 72-73-85,Капустина Елена Александровна,Управление лицензирования администрации Липецкой области
11937,"ООО ""Торговое предприятие ""Дубрава""",,,4823018804,482301001,"398901, Липецкая обл, Липецк г, Асфальтная ул","398901, Липецкая обл, Липецк г, Асфальтная ул",48,26,Г,599090,09.06.2002,09.06.2005,,,,,(4742) 43-91-93,Жданов Александр Александрович,Департамент потребительского рынка адм. Липецкой области
11943,"ООО ""Торговое предприятие ""Огонек""",,,4826037820,,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 5/5","398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 5/5",48,557,Г,599945,09.15.2003,09.15.2004,,,,,(4742) 36-33-98,Москалева Ирина Владимирров,Департамент потребительского рынка адм. Липецкой области
11945,"ООО ""Торговопищевой комбинат""",,,4825004268,,г.Липецк Трубный проезд д.1,г.Липецк ул.Космонавтов д.54-а,48,121,Г,603284,02.06.2002,02.06.2003,09.19.2002,10.12.2002,,,47-29-58,Семенкова Тамара Николаевна,Управление лицензирования администрации Липецкой области
11953,"ООО ""Торговый Дом ""Винград-Липецк""",,,4826028896,482501001,"398000, Липецкая обл, Липецк г, Московская ул, дом № 12",г.Липецк ул.Московская д.12,48,153,Г,599245,11.27.2002,11.27.2003,,,,,(4742) 31-01-39,Ивашева Элла Валентиновна,Департамент потребительского рынка адм. Липецкой области
11958,"ООО ""Торговый Дом ""Горобецъ""",,,4807009545,481501001,"399540, Липецкая обл, Тербунский р-н, Тербуны с, Ленина ул, дом № 108-а","399540, Липецкая обл, Тербунский р-н, Тербуны с, Ленина ул, дом № 108-а",48,399,Д,475152,07.20.2006,07.20.2011,,,,,(47474) 2-12-32,Горобец Екатерина Яковлевна,Департамент потребительского рынка адм. Липецкой области
11960,"ООО ""Торговый дом ""Городище""",,,4825028117,,г.Липецк ул.Зегеля д.2,г.Липецк ул.Неделина,48,202,Г,599297,12.19.2002,12.19.2005,,,,,47-50-58,дир.Васильев Александр Сергеевич,Департамент потребительского рынка адм. Липецкой области
11992,"ООО ""Торговый дом ""Парнас""",,,4823014623,,"398600, Липецкая обл, Липецк г, Алмазная ул, дом № 1-а","398000, Липецкая обл, Липецк г, 20 мкр., магазин ""Южный-114""",48,8,Г,599063,08.29.2002,08.29.2003,06.17.2003,06.26.2003,,,(4742) 41-19-63,Тамбовцева Анаида Вазгеновна,Департамент потребительского рынка адм. Липецкой области
12007,"ООО ""Торговый дом ""Росинка""",,,4825022450,,"398600, Липецкая обл, Липецк г, Универсальный проезд, дом № 11",г.Липецк ул.Желябова д.31,48,482,Г,603787,06.06.2002,06.06.2003,,,,,(4742) 31-97-96,Трофимов Владимир Викторович,Управление лицензирования администрации Липецкой области
12012,"ООО ""Торговый дом ""Рябиновый""",,,4826048500,482601001,"398902, Липецкая обл, Липецк г, Рябиновая ул, дом № 70","398902, Липецкая обл, Липецк г, Рябиновая ул, дом № 70",48,722,Д,476732,12.30.2005,12.30.2008,,,,,(4742) 70-60-10,Коротких Александр Владимирович,Департамент потребительского рынка адм. Липецкой области
12016,"ООО ""Торговый дом ""Слобода""",,,4826028825,482601001,"398002, Липецкая обл, Липецк г, Липовская ул, дом № 5","398002, Липецкая обл, Липецк г, Липовская ул, дом № 5",48,218,Д,475652,10.19.2007,10.19.2012,,,,,(4742) 72-47-71,Назаров Александр Васильевич,Управление потребительского рынка Липецкой области
12196,"ООО ""Торговый дом Задонский""",,,4808005141,,г.Задонск ул.Труда д.12,г.Задонск ул.К.Маркса д.54,48,163,Г,599258,12.02.2002,12.02.2005,,,,,,ген.дир.Лыкова Наталья Михайловна,Департамент потребительского рынка адм. Липецкой области
12197,"ООО ""Торговый Дом Новинка""",,,4825032956,482501001,"398007, Липецкая обл, Липецк г, Ушинского ул, дом № 20",г.Липецк ул.Ушинского д.20,48,194,Г,599293,12.18.2002,12.18.2003,10.31.2003,11.04.2003,,,(4742) 28-63-57,Кочергина Надежда Викторовна,Департамент потребительского рынка адм. Липецкой области
12203,"ООО ""Торговый мир-1""",,,4821015950,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 66","399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 66",48,449,Д,476437,08.16.2005,08.16.2008,,,,,(47467) 4-20-54,Володина Людмила Григорьевна,Департамент потребительского рынка адм. Липецкой области
12205,"ООО ""Торговый мир""",,,4821013399,,г.Елец ул.Коммунаров 66,г.Елец ул.Коммунаров 66,48,651,Г,599032,08.16.2002,08.16.2005,,,,,4-20-54,Володина Людмила Григорьевна,Управление лицензирования администрации Липецкой области
12207,"ООО ""Торговый центр № 3""",,,4824027618,,"398036, Липецкая обл, Липецк г, Шубина б-р, дом № 12","398036, Липецкая обл, Липецк г, Шубина б-р, дом № 12",48,326,Г,599698,05.13.2003,05.13.2004,,,,,(4742) 41-52-12,Симакова Людмила Валентиновна,Департамент потребительского рынка адм. Липецкой области
12209,"ООО ""Торговый центр""",,,4824027760,482401001,"398036, Липецкая обл, Липецк г, Катукова ул, дом № 40","398036, Липецкая обл, Липецк г, Катукова ул, дом № 40",48,205,Д,475955,07.14.2008,07.14.2013,,,,,(4742) 46-97-99,Давыдова Юлия Юрьевна,Управление потребительского рынка Липецкой области
12210,"ООО ""Торгсервис-Фудс""",,,4825028685,,"398000, Липецкая обл, Липецк г, Лебедянское шоссе, дом № 3-а","398007, Липецкая обл, Липецк г, Кутузова ул, дом № 2",48,169,Г,599264,12.05.2002,12.05.2003,,,,,(4742) 34-89-10,Павлов Александр Николаевич,Департамент потребительского рынка адм. Липецкой области
12216,"ООО ""Торгсервис""",,,4811006191,481101001,"399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Школьная ул, дом № 5","399610, Липецкая обл, Лебедянский р-н, Лебедянь г, Школьная ул, дом № 5",48,340,Г,599718,05.21.2003,05.21.2006,,,,,(47466) 5-68-11,Мягкова Раиса Александровна,Департамент потребительского рынка адм. Липецкой области
12226,"ООО ""ТРАЯН - Л""",,,4825025564,482501001,"398001, Липецкая обл, Липецк г, Петра Великого пл, дом № 1",г.Липецк пл.К.Маркса д.1,48,629,Г,599003,08.02.2002,08.02.2003,,,,,(4742) 77-93-61,Пытьева Валентина Николаевна,Управление лицензирования администрации Липецкой области
12239,"ООО ""Трейд-Стар""",,,4826058587,482601001,"398035, Липецкая обл, Липецк г, Звездная ул, дом № 5 ""а""","398035, Липецкая обл, Липецк г, Звездная ул, дом № 5 ""а""",48,290,Д,475723,12.25.2007,12.25.2012,04.11.2012,04.17.2012,,,(4742) 31-02-94,Бачурина Светлана Владимировна,Управление потребительского рынка Липецкой области
12254,"ООО ""Тройка""",,,4825033741,,"398020, Липецкая обл, Липецк г, Студеновская ул, дом № 205-А","398050, Липецкая обл, Липецк г, Плеханова ул, дом № 34",48,99,Г,599470,02.27.2003,02.27.2006,,,,,(4742) 27-20-81,Плотников Евгений Николаевич,Департамент потребительского рынка адм. Липецкой области
12256,"ООО ""Тройка"" ",,,4813008490,480501001,"399146, Липецкая обл, Добровский р-н, Путятино с, Костикова ул, дом № 25","399146, Липецкая обл, Добровский р-н, Путятино с, Костикова ул, дом № 25",48,374,Д,475136,07.17.2006,07.17.2011,,,,,(47463) 3-72-71,Чичикин Анатолий Петрович,Департамент потребительского рынка адм. Липецкой области
12258,"ООО ""ТРОН""",,,4825046067,482501001,"398050, Липецкая обл, Липецк г, Ленина ул, дом № 11","398050, Липецкая обл, Липецк г, Ленина ул, дом № 11, гостиница ""Липецк"", 5 этаж",48,380,Д,475145,07.18.2006,07.18.2011,,,,,(4742) 27-75-55,Ролдугина Нина Федоровна,Департамент потребительского рынка адм. Липецкой области
12260,"ООО ""Тульский пряник""",,,4807009344,481401001,"399710, Липецкая обл, Становлянский р-н, Становое с, Советская ул, дом № 68","399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул",48,429,Д,475176,07.28.2006,07.28.2011,,,,,(47476) 2-10-43; 89610315145,Агапова Тамара Дмитриевна,Департамент потребительского рынка Липецкой области
12264,"ООО ""ТЦ ""Садко""",,,4823023057,482301001,"398908, Липецкая обл, Липецк г, Энергостроителей ул, дом № 23","398908, Липецкая обл, Липецк г, Энергостроителей ул, дом № 23",48,617,Д,235011,10.16.2003,10.16.2006,,,,,(4742) 43-74-45,Боровицкая Лидия Ивановна,Департамент потребительского рынка адм. Липецкой области
12268,"ООО ""У Григория""",,,4811009121,481101001,"399626, Липецкая обл, Лебедянский р-н, Троекурово с, Комсомольская ул, дом № 3-А","399626, Липецкая обл, Лебедянский р-н, Троекурово с, Комсомольская ул, дом № 3-а",48,406,Д,475154,07.20.2006,07.20.2011,,,,,(47466) 9-72-80,Иншаков Григорий Анатольевич,Департамент потребительского рынка адм. Липецкой области
12275,"ООО ""У Пруда""",,,4816008474,481701001,"399260, Липецкая обл, Хлевенский р-н, Хлевное с, Свобода ул","399260, Липецкая обл, Хлевенский р-н, Хлевное с, Свободы ул",48,71,Д,475494,04.04.2007,04.04.2012,,,,,(47477) 2-11-52,Кудаев Юрий Алексеевич,Управление потребительского рынка Липецкой области
12277,"ООО ""Удача"" ",,,4806002730,480601001,"399510, Липецкая обл, Долгоруковский р-н, Долгоруково с, Ленина ул, дом № 10",с.Долгоруково ул.Ленина д.10,48,240,Г,603468,03.15.2002,03.15.2005,,,,,(47468) 2-14-51,Юдина Валентина Николаевна,Управление лицензирования администрации Липецкой области
12279,"ООО ""Удача""",,,4802010184,,"399431, Липецкая обл, Добринский р-н, Добринка п, Восточная ул, дом № 7","399431, Липецкая обл, Добринский р-н, Добринка п, Воронского ул",48,491,Д,475243,09.04.2006,09.04.2011,,,,,(47462) 2-00-40,Горбачева Наталия Владимировна,Департамент потребительского рынка Липецкой области
12284,"ООО ""Удача""",,,4807011858,481401001,"399710, Липецкая обл, Становлянский р-н, Становое с, Мичурина ул, дом № 27 ""а""","399710, Липецкая обл, Становлянский р-н, Становое с, Мичурина ул, дом № 27 ""а""",48,133,Д,475875,05.19.2008,05.19.2013,,,,,89103509303,Кочетков Сергей Николаевич,Управление потребительского рынка Липецкой области
12288,"ООО ""Удачный""",,,4826071570,482601001,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 20 А","398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 20 А",48,97,ПВ,0000483,06.21.2010,06.20.2015,,,,,(4742) 34-96-10,Кошмина Вероника Николаевна,Управление потребительского рынка Липецкой области
12289,"ООО ""Улыбка""",,,4821001178,,"399774, Липецкая обл, Елецкий р-н, Елец г, Черокманова ул, дом № 3",г.Елец ул.Королева д.1,48,566,Г,603898,07.10.2002,07.10.2003,,,,,(47467) 5-33-27,Черных Ирина Александровна,Управление лицензирования администрации Липецкой области
12316,"ООО ""Умбат""",,,4816011540,481601001,"399332, Липецкая обл, Усманский р-н, Кривка с, Центральная ул, дом № 74-а","399332, Липецкая обл, Усманский р-н, Кривка с, Центральная ул, дом № 74-а",48,92,ПВ,0000477,06.15.2010,06.14.2011,,,,,89092221456,Алиев Камандар Умбат оглы,Управление потребительского рынка Липецкой области
