"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усть-Кутскому МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
30,"ООО «Дебют»
ИНН3818014312
","г. Усть-Кут, ул. Кирова, 92","Лицензия выдана А 228677  № 44 от 10.07.2007г.
с 11 .07.2007г.
по 11.07.2012г
","1. Магазин  «Дебют», ул. Кирова, 92, г.Усть-Кут
2. Магазин   «Дебют плюс», ул. Российская,1 ,  г.Усть-Кут 
3. Магазин «Модуль»,  ул. Советская, 80,  г.Усть-Кут
4. Магазин «Сфера»,  ул. Кедровая,1, г.Усть-Кут
",-,-,7/11/2012,-,-,
31,"ООО «Парус»
ИНН3818014520
","г. Усть-Кут, ул. Ленрабочих, 8","Лицензия выдана А 228678 № 45 от 13.07.2007г. с 13.07.2007г. по 13.07.2012г
","1. Магазин  «Парус»           
ул. Ленрабочих , 8  г. Усть-Кут
",-,-,-,-,-,
32,"ООО «Континент»
ИНН 3818014295
","ул. Володарского, 71 А г. Усть-Кут","Лицензия выдана А 228680 № 46 от 03.08.2007г.  с 06.08.2007г. по 06.08.2012 г.
","1. Магазин «Сфера»,  Речников 49А, Усть-Кут
2. Магазин «Континент»,   ул. Советская , 159,Усть-Кут
3. Магазин, « Континент», Набережная , 2а, Усть-Кут
4. Магазин «РИЦ», Пушкина, 101, г. Усть-Кут
5. Магазин «Континент+»,   Речников, 36,Усть-Кут
",-,-,-,-,-,
33,"ООО «ЮНА»
ИНН 3818022850
"," г. Усть-Кут, пер. Комсомольский, д. 3А",Лицензия переоформлена    38 МЕ 007852 № 13 от 22.07.2011г.  с 22.07.2011г.  по 24.12.2012г. Взамен: 38 МЕ 007833 № 8 от 22.04.2011г. с 22.04.2011г.                                          по 24.12.2012г.                               ,"1.Арендуемый отдел в торговом центре , пер.Комсомольский ,3А, г.Усть-Кут",-,-,-,-,-,
34,"ООО                               «Управляющая компания –Осетрово»
ИНН 3818022218
","г. Усть-Кут, пер. Комсомольский, 3А","№ 12 серия 38 МЕ 007902 2012.08.17 до2013.03.07 

 взамен Лицензия переоформлена 38 МЕ 007832 № 7 от 22.04.11г. с 22.04.2011 по 07.03.2013 г.
Взамен А 228700 № 48 от 07.03. 08 г
","1. Кафе ""Мистер Браун"" (по адресу: Иркутская область, г. Усть-Кут, пер. Комсомольский, д. 3А); 2) торговый павильон ""Удача"" (по адресу: Иркутская область, г.Усть-Кут, пер. Комсомольский, д. 3А) 
",-,-,-,-,-,
35,"ООО «Адмирал»
ИНН 3818024134
","ул. Кирова, 82-10, г. Усть-Кут","Лицензия выдана А 228717 № 50, от 13.11.2008г.       
с 13.11.2008г. по 13.11.2013г
","1. Бар развлекательного клуба «Адмирал», ул. Пролетарская , д.1а     г. Усть-Кут",-,-,-,-,-,
36,"ООО ПКФ ""Дилижанс""               ИНН 3818021373","г. Усть-Кут, ул. 2-ая Ледорезная, 10А",Лицензия переоформлена 38 МЕ 007865 № 15  от 25.11.2011г.  с 25.11.2011г. по 27.11.2013г. Взамен: А 228719 № 51 от 27.11.2008г.  с 27.11.2008г.                        по 27.11.2013г.,"1. Магазин № 6 , ул. Нефтяников, 1В, г. Усть-Кут  
2. Магазин ""Забота"", ул. Нефтяников,1б, г. Усть-Кут 
3. Магазин ""Казарки"", ул. Мира, 5,   г. Усть-Кут  
4. Закусочная, ул. Кирова , 36,   г. Усть-Кут    
",-,-,-,-,-,
37,"ООО «Марковское
коммунальное предприятие»
ИНН 3818017232
","п.Верхнемарково, ул. 40 лет Победы, д. 53 Усть-Кутский район","Лицензия выдана А 228721 № 52
от 19.12.2008г.           
с 20.12.2008г. по 20.12.2013г.
","1. Магазин-пекарня «Лена», ул. Ефименко , 1, п. Верхнемарково",-,-,-,-,-,
38,"ООО «Медуза»
ИНН 3818022264
","г. Усть-Кут, ул. Луговая, д. 20","Лицензия выдана А 228723 № 54
от 24.12.2008г. с 25.12.2008г.  по 25.12.2013г
","1. Кафе-бар «Медуза», ул. Луговая, д.20,   Усть-Кут
",-,-,-,-,-,
39,"ООО «Янтальторг»
ИНН 3818025120
","Усть-Кутский район, п. Янталь, ул. Еловая, д. 11","Лицензия переоформленаМЕ 007813 № 6 от 27.05.2010г. с 27.05.2010г. по 25.03.2014г. Взамен А 228728 № 1 от 25.03.2009г.  с 25.03.2009г. по 25.03.2014г.        
","1. Магазин № 3, «Ромашка» ,   ул. Лесная , 9, п. Янталь Усть-Кутский р-н
2. Магазин «Фантазия»,    ул. Еловая , 7,  п. Янталь, Усть-Кутский р-н                                  
3. Кафе-бар « У Стаса», п. Янталь, Усть-Кутский р-н
4. Магазин № 7, д. Каймоново, Усть-Кутский р-н
",-,-,-,-,-,
40,"ООО «Альянс»
ИНН 3818025770
","п. Ручей, Усть-Кутский район, ул. Центральная,8","Лицензия выдана А 228733 № 2
от 03.04.2009г.
с 03.04.2009г.
по 03.04.2014г.
","1. Магазин  « Альянс»,   ул. Лесная , 12,  п. Янталь, Усть-Кутский р-н                  
2. Магазин «Хлеб»,   ул. Центральная,8 , п. Ручей, Усть-Кутский р-н
",-,-,-,-,-,
41,"ООО «Ленаторг»
ИНН 3818025716
","г. Усть-Кут, ул. Белобородова, д. 3","Лицензия переоформлена38 МЕ 007810 № 4 от 13.04.2010г. с  13.04.2010г. по 04.04.2014г.Взамен: 38 МЕ 007806  №1  с 18.01.2010г. по 04.04.2014г.
","1. Магазин « Север», ул. Белобородова, д.3, г. Усть-Кут
2. Магазин « Ленаторг»,  ул. Халтурина , 54-83        
г. Усть-Кут
",-,-,-,-,-,
42,"ООО                                «Сибстройторг»
ИНН 3818026910
","г. Усть-Кут, ул. Нефтяников, д. 19а, кв. 2","Лицензия выдана 38 МЕ 007803  № 4 от 30.12.2009г. с 30.12.2009г. по 30.12.2014г.
","1. Кафе «ТеТ-а-ТеТ»,  ул. Речников , 53 кв. 77, г. Усть-Кут",-,-,-,-,-,
43,"ООО «Грант»
ИНН 3818026967
","г. Усть-Кут, ул. Кирова, 77","Лицензия выдана 38 МЕ 007807 № 1
от 21.01.2010г. 
с 21.01.2010г.  по 21.01.2015г.
","1. Кафе-бар  « Эльдорадо»,  ул. Кирова , 79   г. Усть-Кут


",-,-,-,-,-,
44,"ООО «Барс»
ИНН 3818027093
","г. Усть-Кут, ул. Кедровая, 19а","38 МЕ 007897 № 8 от 24,07.2012 по  08.10.2015","1) отдел в нежилом здании по адресу: Иркутская область, г. Усть-Кут, ул. Речников, д. 2г; 2) магазин «Меркурий» по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 12 помещение 6; 3) отдел в магазине «Фея+» по адресу: Иркутская область, г. Усть-Кут, ул. Халтурина, д. 69; 4) торговая точка в здании по адресу: Иркутская область, Усть-Кутский район, п. Ния, ул. Тбилисская, 5; 5) торговая точка в здании по адресу: Иркутская область, Усть-Кутский район, п . Верхнемарково, ул. Мира, 18; 6) отдел в магазине «Рябинушка+» по адресу: Иркутская область, Усть-Кутский район, п Верхнемарково, ул. Кравченко, д. 1; 7) отдел в магазине «Кедр» по адресу: Иркутская область, Усть-Кутский район, п. Янталь, ул. Лесная, 12; 8) отдел в магазине «Смак» по адресу: Иркутская область, Усть-Кутский район, п.Янталь, ул. Лесная, д. 9, кв. 91; 9) отдел в здании по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, ул. 60 лет Октября,12; 10) отдел в магазине «Янтарь» по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, ул. 60 лет Октября, 27Б, 11) отдел в магазине «Агдам» по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, ул. Корчагинская, д. 2А; 12) отдел в магазине «Север» по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, МК-131, ул. Центральная, д. 12; 13) отдел в здании по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, ул. Вокзальная, д. 5; 14) отдел в магазине «Запад» по адресу: Иркутская область, Казачинско-Ленский район, п. Магистральный, ул. 17 съезда ВЛКСМ, д. 50А ; 15) отдел в магазине «Бис» по адресу: Иркутская область, Казачинско-Ленский район, д. Ключи, ул. 30 лет Победы, 8а ",-,-,-,-,-,
45,"ООО ""Янта-Братск-Розница""                     ИНН 3804036066"," г. Братск, жилой район Чекановский, ул. Первопроходцев, 2 А, № 1",38 МЕ 006342 № 766 от 24.06.2011г.                       с 24.06.2011г. по 29.11.2012г.               Лицензия зарегистрирована  за № 2 от 04.07.2011г. и внесена в реестр,"1. Магазин ""Янта"", ул. Чкалова , 1,   г. Усть-Кут",-,-,-,-,Администрация г. Братска,
46,"ЗАО ТК                        ""Купеческий двор""          ИНН 3818012717","г. Усть-Кут, ул. Котовского, 1",Лицензия выдана 38 МЕ 007878  № 1  от 02.02.2012г. с 02.02.2012г. по 02.02.2013г.,"1. Кафе ""Телега"", г. Усть-Кут, ул. Котовского, 1",-,-,-,-,-,
47,"ООО ""Престиж""                  ИНН 3818020796","Усть-Кутский район, п. Ручей, ул. Центральная, 33",Лицензия выдана                                          38 МЕ 007879 № 2 от 28.02. 2012 г.   С 28.02.2012 г. по 28.02.2013 г.                 ,"1. Магазин ""Ромашка"", Усть-Кутский район, п. Ручей, ул. Центральная, 34",-,-,-,-,-,
48,"ООО «Глобус»
ИНН 3818020203
","г. Усть-Кут, ул. Реброва-Денисова д.11, кв. 2",Лицензия выдана 38 МЕ 007839 № 4 от 23.06.2011 г. с 30.06.2011 г. по 30.06.2012г. ,"1. Магазин ""Глобус"", ул. Кирова , 86,п.1, г. Усть-Кут  ",-,-,7/1/2012,-,-,
49,"ООО ""ЭТАЛОН"" ИНН 3818020475","г. Усть-Кут, ул. Пушкина, 109",Лицензия переоформлена 38 МЕ 007880 № 2 от 02.03.2012 г. с 02.03.2012 г. по 02.07.2016 г. взамен № 14 от 07.09.11 г. 38 МЕ 007854,"1. Магазин ""Успех"", ул. Кирова,16,1А г. Усть-Кут; ",-,-,-,-,-,
,,,,"2. Магазин ""Зайди"", ул. Кирова, 82,2, г. Усть-Кут;",,,,,,
,,,," 3. Магазин ""Нефтяник"", ул. Нефтяников, 1 ""Б"", г. Усть-Кут;    ",,,,,,
,,,,"4. Магазин, ул. Кирова, 136, г. Усть-Кут;",,,,,,
,,,,"5. Отдел в магазине ""Рич"", ул. Кирова, 36, корпус, 1пом. 106, г. Усть-Кут;  ",,,,,,
,,,,"6. Отдел в магазине ""Экономторг"", ул. Кирова, 38, г. Усть-Кут;",,,,,,
,,,,"7. Отдел в магазине ""Садко"", ул. Горького, 52, г. Усть-Кут;",,,,,,
,,,," 8. Отдел в магазине ""Марс+"", ул. Кирова,90,153, г. Усть-Кут;      ",,,,,,
,,,," 9. Отдел в магазине "" Ласточка"", ул. Котовского, 7, г. Усть-Кут; ",,,,,,
,,,,"10. Отдел в мини павильоне ""Мал да удал"", ул. Халтурина, 42 ""А"", г. Усть-Кут;",,,,,,
,,,," 11. Отдел в магазине ""Холбос"", ул. Седова, 21, г. Усть-Кут;   ",,,,,,
,,,,"12. Отдел в магазине ""Елочка"", ул. Фрунзе, 8, г. Усть-Кут;",,,,,,
,,,," 13. Отдел в магазине ""Гастроном"", ул. Пролетарская, 12, г. Усть-Кут;",,,,,,
,,,,"14. Отдел в магазине ""Алина"", ул. Пролетарская, 11, 1А, г. Усть-Кут;",,,,,,
,,,," 15. отдел в магазине ""Волна"", ул. Кирова, 19, г. Усть-Кут;       ",,,,,,
,,,," 16. Отдел в магазине ""Анастасия"", ул. Речников, 42, г. Усть-Кут;",,,,,,
