"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Усть-Илимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
19,Общество с ог-раниченной от-ветственностью «ВВК»     3817035020,МИ  ФНС   РФ №  9                 по  Иркутской области  ,А 244998          № 27     06.10.11 г.       с  06.10.11 г. по 21.05.14г. зарегистр. 31.10.11 г.,"Усть-Илиский р-н:                                       р.п. Железнодорожный:                                           ул. Волкова, д.2 а,                                                     отдел  в  магазине «Север»",,,,,Администрация         города              Усть-Илимска,
,,,,"ул. Гагарина, д. 5-1,                                                                               вино-водочный  отдел в  магазине «Юпитер»,",,,,,,
,,,,"ул. Гагарина,                                                                           вино-водочный  отдел в магазине «Меркурий»,",,,,,,
,,,,"ул. Молодёжная, 16,                                                                                           вино-водочный отдел в магазине «Багульник»,",,,,,,
,,,,"п.  Тубинский:                                                        ул. Таёжная, д.16,                                                              вино-водочный отдел  в  магазине «Эльмира»",,,,,,
,,,,Дачное некоммерческое  товарищество   «Лесник»,,,,,,
,,,,"ул. Мичурина, 2,                                                                                            вино-водочный  отделв магазине «Ёж»,",,,,,,
,,,,"ул. Школьная, 1А,                                                                              вино-водочный  отдел в магазине «Вербушка»",,,,,,
20,Общество с ог-раниченной от-ветственностью «Реформа»  3817025752,МИ  ФНС   РФ №  9                 по  Иркутской области  ,А 178953          № 2              20.04.10 г.      с  21.04.10 г.  по  20.04.15 г.,"Усть-Илимский р-н:                                     р.п. Железнодорожный,                                                     ул. Строительная, д.12,                                                       магазин  «Хороший»",15.07.10 г. по 15.08.10г.,26.07.10г.,,,,
21,Общество с ог-раниченной от-ветственностью «Адмирал» 3817036169,МИ  ФНС   РФ №  9                 по  Иркутской области  ,А 178971             № 36           30.12.11 г.      с  31.12.11 г.     по 30.12.12 г.,"Усть-Илимский  р-н:                                        п. Седаново,                                                 ул. Ангарская, д. 4,                                                               магазин  «Ангарский»    ",,,,,,
