Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,"21)Тюменская область,  Заводоуковский район, п. Лебедевка, ул. Советская, д. 20 А, магазин (открыт 01.01.02)
22)Тюменская область,  Заводоуковский район, с. Бигила, ул. Первомайская, д. 2, магазин (открыт 01.01.02)
",,,,
,,,,,,"23)Тюменская область,  Заводоуковский район, д. Дронова, ул. Новая, д. 2 А, магазин (открыт 01.01.02)
24)Тюменская область,  Заводоуковский район, с. Першино, ул. Центральная, д. 24/1, магазин (открыт 01.01.02)
",,,,
,,,,,,"25)Тюменская область,  Заводоуковский район, с. Колесниково, ул. Советская, д. 57, магазин (открыт 01.01.02)
26)Тюменская область,  Заводоуковский район, с. Сединкино, ул. Центральная, д. 5, магазин (открыт 01.01.02)
",,,,
,,,,,,"27)Тюменская область,  Заводоуковский район, с. Комиссарово, ул. Лесная, д. 46, магазин (открыт 01.01.02)
28)Тюменская область,  Заводоуковский район, д. Красная, ул. Красная, д. 23, магазин (открыт 01.01.02)
",,,,
,,,,,,"29)Тюменская область,  Заводоуковский район, с. Горюново, ул. Октябрьская, д. 31, магазин (открыт 01.01.02)
30)Тюменская область,  Заводоуковский район, п. Мичуринский, ул. Шоссейная, д. 17 А, магазин (открыт 01.01.02)
",,,,
,,,,,,"31)Тюменская область,  Заводоуковский район, п. Центральный, ул. Центральная, д. 30 Г/1, магазин (открыт 01.01.02)
32)Тюменская область,  Заводоуковский район, п. Озерки, ул. 1-я Озерная, д. 1, магазин (открыт 01.01.02)
",,,,
,,,,,,"33)Тюменская область,  Заводоуковский район, с. Новолыбаево, ул. Советская, д. 14, магазин (открыт 01.01.02)
34)Тюменская область,  Заводоуковский район, с. Новолыбаево, ул. Ялуторовская, д. 3, магазин (открыт 01.01.02)
",,,,
,,,,,,"35)Тюменская область,  Заводоуковский район, д. Шиликуль, ул. Приозерная, д. 29 А, магазин (открыт 01.01.02)
36)Тюменская область,  Заводоуковский район, д. Пономарева, пер. Озерный, д. 1, магазин (открыт 01.01.02)
",,,,
,,,,,,"37)Тюменская область,  Заводоуковский район, с. Гилево, ул. Речная, д. 3, магазин (открыт 01.01.02)
38)Тюменская область,  Заводоуковский район, с. Сунгурово, ул. Центральная, д. 34, магазин (открыт 01.01.02)
",,,,
,,,,,,"39)Тюменская область,  Заводоуковский район, с. Падун,  ул. Школьная, д. 4, магазин (открыт 01.01.02)
40)Тюменская область,  Заводоуковский район, п. Речной,  ул. Шоссейная, д. 7, магазин (открыт 01.01.02)
",,,,
,,,,,,"41)Тюменская область,  Заводоуковский район, п. Степной,  ул. Механизаторов, д. 4, магазин (открыт 01.01.02)
42)Тюменская область,  Заводоуковский район, с. Тумашово,  ул. Центральная, д. 16, магазин (открыт 01.01.02)
",,,,
,,,,,,"43)Тюменская область,  Заводоуковский район, д. Щучье,  ул. Школьная, д. 5, магазин (открыт 01.01.02)
44)Тюменская область, г. Заводоуковск, ул. Революционная, д. 19, магазин (открыт 01.01.02)
",,,,
,,,,,,"45)Тюменская область,  Заводоуковский район, п. Урожайный,  ул. Молодежная, д. 1, магазин (открыт 08.07.09)
46)Тюменская область,  Заводоуковский район, с. Новая Заимка, ул. Авторемонтная, д. 1А , магазин (открыт 26.11.09)
",,,,
