№ п/п,Наименование организации,ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Регистрационный номер лицензии,Серия лицензии,"Наименование лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса
968,"Общество с ограниченной ответственностью ""Строительная группа ""ФЛЭТРОН""",7802322728,780201001,"Российская Федерация, 194021, Санкт-Петербург, 2-й Муринский пр., д. 38, литера А",,"Санкт-Петербург, 2-й Муринский пр., д. 38, литера А, часть помещения 1-Н(комнаты 38-49,51-58)",,78,78,Розничная продажа алкогольной продукции,,78-004311,00344/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",11.05.2010,11.05.2013,,,,,Действует,11.05.2010
969,"Общество с ограниченной ответственностью ""Эдинбург""",7825496632,784001001,"191002, Российская Федерация, Санкт-Петербург, Рубинштейна ул., дом 36",,"Санкт-Петербург, Казанская ул., д. 5, литера А, помещения 7Н,22Н,часть помещения 15Н (комнаты 1-5,14-16)",,78,78,Розничная продажа алкогольной продукции,,78-004312,00345/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",11.05.2010,11.05.2013,,,,,Действует,11.05.2010
1214,"Общество с ограниченной ответственностью ""Суши-Рия""",7814342366,781401001,"197374, Российская Федерация, Санкт-Петербург, Савушкина ул., дом 135, корп. 4",,"Санкт-Петербург, Савушкина ул., д. 135, корп. 4, лит. А, пом. 9Н",,78,78,Розничная продажа алкогольной продукции,,78-004316,00347/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",12.05.2010,12.05.2013,,,,,Действует,12.05.2010
1215,"Общество с ограниченной ответственностью ""Фарт""",7813103904,781301001,"197198, Санкт-Петербург, ул.Блохина, д. 22",,"Санкт-Петербург, Блохина ул., д. 22, лит. А, пом. 1-Н, 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-004317,00348/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",12.05.2010,12.05.2013,,,,,Действует,12.05.2010
1216,"Общество с ограниченной ответственностью ""НАДЕЖДА""",7842008691,784201001,"Российская Федерация, 191144, Санкт-Петербург, Кирилловская ул., д. 1/12, кв.16",,"Санкт-Петербург, Можайская ул., д. 37-39, лит. А, пом. 1Н",,78,78,Розничная продажа алкогольной продукции,,78-004318,00349/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",12.05.2010,12.05.2013,,,,,Действует,12.05.2010
1217,"Общество с ограниченной ответственностью ""Скиф""",7825431949,784201001,"193167, Российская Федерация, Санкт-Петербург, Невский пр., дом 176, а/я 367",,"Санкт-Петербург, Белы Куна ул., д. 16, лит. Г, пом. 1Н, 2Н",,78,78,Розничная продажа алкогольной продукции,,78-004319,00350/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",12.05.2010,12.05.2013,,,,,Действует,12.05.2010
1218,"Общество с ограниченной ответственностью ""Компания РОСТ""",7805509717,780501001,"Российская Федерация, 198261, Санкт-Петербург, Ветеранов пр., д. 109, корп. 3, помещение 4-Н",,"Санкт-Петербург, Петергофское шоссе, д. 3, корп. 2, литера А, помещение 6-Н",,78,78,Розничная продажа алкогольной продукции,,78-004320,00351/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",12.05.2010,12.05.2013,,,,,Действует,12.05.2010
1220,"Открытое акционерное общество ""Экогазсервис""",7817016963,781701001,"Российская Федерация, 196653, Санкт-Петербург,  г. Колпино, Лагерное шоссе, д. 75",,"Санкт-Петербург, Зотовский пр., д. 9, литера А, часть помещения 1-Н(комнаты 1,16)",,78,78,Розничная продажа алкогольной продукции,,78-004326,00246/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.05.2010,09.04.2013,,,,,Действует,13.05.2010
1224,"Общество с ограниченной ответственностью ""Евразия-Речка""",7814419393,781101001,"Российская Федерация, 192177, Санкт-Петербург, Шлиссельбургский пр., д. 17, корп. 1, литера Б, помещение 1-Н",,"Санкт-Петербург, Шлиссельбургский пр., д. 17, корп. 1, литера Б, часть помещения 1Н (комн. 24-34)",,78,78,Розничная продажа алкогольной продукции,,78-004325,00677/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.05.2010,13.10.2012,,,,,Действует,13.05.2010
1228,"Общество с ограниченной ответственностью ""Ника+""",7802493280,780201001,"Российская Федерация, 194064, Санкт-Петербург, Светлановский пр., д. 61, литера Б, помещение 10Н",,"Санкт-Петербург, Энгельса пр., дом 139/21, лит. А, часть помещения 61Н (комнаты 1-5)",,78,78,Розничная продажа алкогольной продукции,,78-004331,00354/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",18.05.2010,18.05.2013,,,,,Действует,18.05.2010
1229,"Общество с ограниченной ответственностью ""Альфа плюс""",7805152418,780501001,"198097, Российская Федерация, Санкт-Петербург, Маршала Говорова ул., дом 29, лит. А",,"Санкт-Петербург, Батарейная дорога, д. 10, корп. 2, литера Б",,78,78,Розничная продажа алкогольной продукции,,78-004332,00355/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",18.05.2010,18.05.2013,,,,,Действует,18.05.2010
1231,"Общество с ограниченной ответственностью ""Вкусная еда""",7814462303,781401001,"Российская Федерация, 197341, Санкт-Петербург, Коломяжский пр., д. 19, корп. 2, литера А",,"Санкт-Петербург, Коломяжский пр., д. 19, корп. 2, литера А, часть помещения 1Н (комнаты 392-402, часть комнаты 447)",,78,78,Розничная продажа алкогольной продукции,,78-004337,00360/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",18.05.2010,18.05.2013,,,,,Действует,18.05.2010
1232,"Общество с ограниченной ответственностью ""ААБ-2""",7825492684,784001001,"191002, Российская Федерация, Санкт-Петербург, Рубинштейна ул., дом 36",,"Санкт-Петербург, Комендантский пр., д. 11, литера В, часть пом. 28-Н (комн. 37-41)",,78,78,Розничная продажа алкогольной продукции,,78-004344,00361/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1233,"Общество с ограниченной ответственностью ""НАРИМАН""",7813449846,781301001,"Российская Федерация, 197136, Санкт-Петербург, Чкаловский пр., д. 50, литера А, помещение 4-Н",,"Санкт-Петербург, Чкаловский пр., д. 50, литера А, часть помещения 4Н (комн. 1-8)",,78,78,Розничная продажа алкогольной продукции,,78-004345,00362/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1234,"Общество с ограниченной ответственностью ""Скорпион""",7802337379,780201001,"194358, Российская Федерация, Санкт-Петербург, Энгельса пр., дом 154",,"Санкт-Петербург, Энгельса пр., д. 154, литера А, часть помещ. 15Н (часть комн. 5, 122)",,78,78,Розничная продажа алкогольной продукции,,78-004346,00363/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1235,"Общество с ограниченной ответственностью ""Стрелец""",7802337611,780201001,"Российская Федерация, 194358, Санкт-Петербург, Энгельса пр., д. 154",,"Санкт-Петербург, Энгельса пр., д. 154, литера А, часть помещения 15Н (комн. 130, части комн. 5,122)",,78,78,Розничная продажа алкогольной продукции,,78-004347,00364/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1236,"Общество с ограниченной ответственностью ""Успех""",7801498856,780101001,"Российская Федерация, 191186, Санкт-Петербург, Нахимова ул., д. 3, литера А, офис 394",,"Санкт-Петербург, Пулковская ул., д. 2, корп. 1, литера А, помещение 47Н",,78,78,Розничная продажа алкогольной продукции,,78-004348,00365/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1237,"Общество с ограниченной ответственностью ""КВАНТ""",7825703494,781601001,"192241, Российская Федерация, Санкт-Петербург, Пражская ул., дом 35, лит. А, пом. 4Н, 5Н, 11Н, 16Н.",,"Санкт-Петербург, Пражская ул., д. 35, лит. А, часть пом. 11Н (21,22,24,25,26,28, часть пом. 14, 20,23)",,78,78,Розничная продажа алкогольной продукции,,78-004349,00366/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1239,"Общество с ограниченной ответственностью ""АКВАРЕЛЬ""",7816448777,781601001,"Российская Федерация, 192283, Санкт-Петербург, Купчинская ул., д. 34, корп. 1, литера А, помещение 26Н",,"Санкт-Петербург, Купчинская ул., д. 34, корп. 1, литера А, помещение 26Н",,78,78,Розничная продажа алкогольной продукции,,78-004350,00367/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1240,"Федеральное Государственное унитарное предприятие ""Центральный научно-исследовательский институт имени академика А.Н.Крылова""",7810213747,781001001,"196158, Российская Федерация, Санкт-Петербург, Московское шоссе, дом 44",,"Санкт-Петербург, Московское шоссе, д. 44, литера З, часть помещения 2Н (комн. 24,36)",,78,78,Розничная продажа алкогольной продукции,,78-004351,00368/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1241,"Общество с ограниченной ответственностью ""Волна плюс""",7825135185,784201001,"Российская Федерация, Санкт-Петербург, Невский пр., дом 136, лит. А",,"Санкт-Петербург, Невский пр., д. 136, лит. А, пом. 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-004353,00370/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",20.05.2010,20.05.2013,,,,,Действует,20.05.2010
1244,"Общество с ограниченной ответственностью ""Талисман""",7820305355,782001001,"196601, Российская Федерация, Санкт-Петербург, Пушкин, Оранжерейная ул., д. 29/23, литера А",,"Санкт-Петербург, Пушкин, Конюшенная ул., д. 16, литера А, часть помещения 1Н(1-6, 41-46)",,78,78,Розничная продажа алкогольной продукции,,78-004356,00373/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.05.2010,24.05.2013,,,,,Действует,24.05.2010
1246,"Общество с ограниченной ответственностью ""СТРОЙ-ФАКТОР""",7826687196,782601001,"190008, Санкт-Петербург, Садовая ул., д. 92",,"Санкт-Петербург, Двинская ул., д. 10, корп. 2, лит. А, пом. 14Н",,78,78,Розничная продажа алкогольной продукции,,78-004357,00374/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.05.2010,24.05.2013,,,,,Действует,24.05.2010
1247,"Общество с ограниченной ответственностью ""Восток""",7816168233,781601001,"192288, Российская Федерация, Санкт-Петербург, Бухарестская ул., д. 114, корп. 1, литера А",,"Санкт-Петербург, Купчинская ул., д. 1/5, литера А, часть помещения 19Н (комнаты 1-20)",,78,78,Розничная продажа алкогольной продукции,,78-004358,00375/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",24.05.2010,24.05.2013,,,,,Действует,24.05.2010
1261,"Общество с ограниченной ответственностью ""Ласточка""",7841407485,784101001,"Российская Федерация, 191011, Санкт-Петербург, Садовая ул., д. 12, пом. 24-Н",,"Санкт-Петербург, участок набережной р. Большой Невки ""Гренадерский мост-Сампсониевский мост"", литер Б, спуск № 3, теплоход ""Дунаевский"", идентификационный №С3-05-20",,78,78,Розничная продажа алкогольной продукции,,78-004367,00378/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.05.2010,25.05.2013,,,,,Действует,25.05.2010
1263,"Общество с ограниченной ответственностью ""Дозавтра""",7813449980,781301001,"Российская Федерация, 197110, Санкт-Петербург, Малый пр. П.С., д. 54-56",,"Санкт-Петербург, Малый пр. П.С., д. 54-56, литера А, часть помещения 1Н (комн. 12-21)",,78,78,Розничная продажа алкогольной продукции,,78-004369,00380/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",25.05.2010,25.05.2013,,,,,Действует,25.05.2010
1289,"Общество с ограниченной ответственностью ""Грушенька""",7840010462,784001001,"191119, Российская Федерация, Санкт-Петербург, Социалистическая ул., дом 11-а, лит. В",,"Санкт-Петербург, Социалистическая ул., д. 11-а, лит. В, часть пом. 1-Н (комн. 1-9)",,78,78,Розничная продажа алкогольной продукции,,78-004375,00386/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.05.2010,26.05.2013,,,,,Действует,26.05.2010
1290,"Общество с ограниченной ответственностью ""ИНТЕР-СТРОЙ""",7801124699,780101001,"199048, Российская Федерация, Санкт-Петербург, Малый пр. В.О., дом 23",,"Санкт-Петербург, Английский пр., д. 48, лит. А, пом. 1-Н, 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-004376,00387/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.05.2010,26.05.2013,,,,,Действует,26.05.2010
1293,"Общество с ограниченной ответственностью ""Пробка-Нева""",7813304216,783801001,"Российская Федерация, 190000, Санкт-Петербург, Большая Морская ул., д. 25, литера А, помещение 2Н",,"Санкт-Петербург, Большая Морская ул., д. 25, литера А, помещение 2Н",,78,78,Розничная продажа алкогольной продукции,,78-004377,00388/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.05.2010,26.05.2013,,,,,Действует,26.05.2010
1294,"Общество с ограниченной ответственностью ""ФЕНИКС-ОТЕЛЬ""",7826156780,784201001,"Российская Федерация, 191036, Санкт-Петербург, Гончарная ул., д. 4, литера А",,"Санкт-Петербург, Гончарная ул., д. 4, литера А, часть помещ. 1-Н (комн. 9, 15, 25, 54)",,78,78,Розничная продажа алкогольной продукции,,78-004378,00389/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.05.2010,26.05.2013,,,,,Действует,26.05.2010
1297,"Общество с ограниченной ответственностью ""ЮлВО""",7813102964,784601001,"Российская Федерация, 197084, Санкт-Петербург, Льва Толстого ул., д. 7, литера А",,"Санкт-Петербург, Льва Толстого ул., д. 7, лит. А, пом. 4-Н (13,15)",,78,78,Розничная продажа алкогольной продукции,,78-004387,00393/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",28.05.2010,28.05.2013,,,,,Действует,28.05.2010
1299,"Общество с ограниченной ответственностью ""Ника-II""",7805514957,780501001,"Российская Федерация, 198152, Санкт-Петербург, Краснопутиловская ул., д. 29, литера А, помещение 7Н",,"Санкт-Петербург, Новаторов бул., д. 11, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-004389,00395/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",28.05.2010,28.05.2013,,,,,Действует,28.05.2010
1301,"Общество с ограниченной ответственностью ""ПЛАТФОРМА-торг""",7820317135,782001001,"Российская Федерация, 196605, Санкт-Петербург, Пушкин, Ленинградская ул., д. 41",,"Санкт-Петербург, Пушкин, Железнодорожная ул., д. 81, литера А, часть помещения 1Н (комн.26,35,36,37,38)",,78,78,Розничная продажа алкогольной продукции,,78-004392,00398/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",01.06.2010,01.06.2013,,,,,Действует,01.06.2010
1302,"Общество с ограниченной ответственностью ""Сириус""",4720022894,781901001,"Российская Федерация, 198504, Ленинградская обл., г. Петродворец, Первого Мая ул., д. 42/2, литера А",,"Санкт-Петербург, Петродворец, 1-го Мая ул., д. 42/2, лит. А, пом. 1Н,2Н",,78,78,Розничная продажа алкогольной продукции,,78-004393,00399/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",01.06.2010,01.06.2013,,,,,Действует,01.06.2010
1304,"Общество с ограниченной ответственностью ""Дионис""",7813191403,781301001,"197198, Санкт-Петербург, Воскова ул., дом 31/20, лит. А",,"Санкт-Петербург, Воскова ул., д. 31/20, литера А, помещение 2-Н, 7-Н",,78,78,Розничная продажа алкогольной продукции,,78-004394,00400/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",01.06.2010,01.06.2013,,,,,Действует,01.06.2010
1305,"Общество с ограниченной ответственностью ""Стейк Пойнт""",7838365789,783801001,"190000, Российская Федерация, Санкт-Петербург, Конногвардейский бул., дом 4, лит. А, пом. 18Н",,"Санкт-Петербург, Конногвардейский бул., д. 4, литера А, помещения 1Н, 17Н, 18Н, часть помещения 3Н (Комнаты 1, 3-12, 14-17)",,78,78,Розничная продажа алкогольной продукции,,78-004395,00401/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",01.06.2010,01.06.2013,,,,,Действует,01.06.2010
1312,"Общество с ограниченной ответственностью ""ЛЭНД 3""",7802301189,784601001,"Российская Федерация, 191002, Санкт-Петербург, Владимирский пр., д. 19, литера А",,"Санкт-Петербург, Владимирский пр., д. 19, литера А, часть пом. 2Н (№ 30, 34, 35, часть № 17)",,78,78,Розничная продажа алкогольной продукции,,78-004398,00404/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1313,"Общество с ограниченной ответственностью ""Сапфир""",7810584741,781001001,"Российская Федерация, 196244, Санкт-Петербург, Типанова ул., д. 29, литера А, пом. 1Н, 67Н",,"Санкт-Петербург, Новостроек ул., д. 21/16, литера А, помещение 6Н",,78,78,Розничная продажа алкогольной продукции,,78-004399,00405/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1315,"Общество с ограниченной ответственностью ""Максимус СПб""",7801418988,780101001,"199406, Российская Федерация, Санкт-Петербург, Карташихина ул., дом 21, лит. А",,"Санкт-Петербург, Лиговский пр., д. 93, лит. А, пом. 11Н",,78,78,Розничная продажа алкогольной продукции,,78-004400,00406/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1316,"Общество с ограниченной ответственностью ""Монополия""",7810317009,781001001,"196158, Российская Федерация, Санкт-Петербург, Московское шоссе, дом 14, корп. 1",,"Санкт-Петербург, Московское шоссе, д. 14, корп. 1, лит. А, пом. 30-Н",,78,78,Розничная продажа алкогольной продукции,,78-004401,00407/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1317,"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Северо-Западнефтепродукт""",7825439514,784201001,"191124, Российская Федерация, Санкт-Петербург, Синопская наб., дом 74, лит. А",,"Санкт-Петербург, Бабушкина ул., д. 127, литера А",,78,78,Розничная продажа алкогольной продукции,,78-004402,00408/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1379,"Общество с ограниченной ответственностью ""ЛУНА""",7804174708,780401001,"Российская Федерация, Санкт-Петербург, Луначарского пр., дом 98, корп. 1, лит. А, пом. 1-Н",,"Санкт-Петербург, Луначарского пр., д. 98, корп. 1, лит. А, пом. 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-004403,00409/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",02.06.2010,02.06.2013,,,,,Действует,02.06.2010
1380,"Общество с ограниченной ответственностью ""Фортуна""",7838432315,783801001,"Российская Федерация, 190068, Санкт-Петербург, Бойцова пер., д. 7",,"Санкт-Петербург, Малая Морская ул., д. 6, литера А, помещение 11Н",,78,78,Розничная продажа алкогольной продукции,,78-004408,00414/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",03.06.2010,03.06.2013,,,,,Действует,03.06.2010
1381,"Общество с ограниченной ответственностью ""Медея""",7839384992,783901001,"Российская Федерация, 190020, Санкт-Петербург, Старо-Петергофский пр., д. 31/2, литера Л, помещение 2Н",,"Санкт-Петербург, Старо-Петергофский пр., д. 31/2, литера Л, помещение 2Н",,78,78,Розничная продажа алкогольной продукции,,78-004409,00415/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",03.06.2010,03.06.2013,,,,,Действует,03.06.2010
1384,"Общество с ограниченной ответственностью ""Кондор""",7804426352,780401001,"Российская Федерация, 195197, Санкт-Петербург, Кондратьевский пр., д. 15, корп. 3",,"Санкт-Петербург, Ленсовета ул., д. 101, литера А, часть помещения 1Н (комн. 5, 6, часть комн. 2)",,78,78,Розничная продажа алкогольной продукции,,78-004411,00417/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",03.06.2010,03.06.2013,,,,,Действует,03.06.2010
1385,"Общество с ограниченной ответственностью ""Евразия-Большевиков""",7811360046,781101001,"193231, Российская Федерация, Санкт-Петербург, Большевиков пр., дом 2, лит. А, пом. 4Н",,"Санкт-Петербург, Большевиков пр., д. 2, лит. А, пом. 4Н",,78,78,Розничная продажа алкогольной продукции,,78-004412,00418/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",03.06.2010,03.06.2013,,,,,Действует,03.06.2010
1387,"Общество с ограниченной ответственностью ""ГИН""",7816398325,781601001,"192212, Российская Федерация, Санкт-Петербург, Белградская ул., д. 26, корп. 6",,"Санкт-Петербург, Альпийский пер., д. 11, корп. 3, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-004414,00302/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,26.04.2013,,,,,Действует,07.06.2010
1390,"Общество с ограниченной ответственностью ""Арт-Триум Сервис""",7838434601,783801001,"Российская Федерация, 190031, Санкт-Петербург, наб. реки Фонтанки, д. 97, литера А, помещение 10Н",,"Санкт-Петербург, Маяковского ул., д. 4, литера А, помещение 2Н",,78,78,Розничная продажа алкогольной продукции,,78-004419,00420/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1391,"Общество с ограниченной ответственностью ""ФЛОРА""",7801233225,780101001,"199406, Россия, Санкт-Петербург, Малый пр. В.О., дом 65, корп. 1, лит. А, пом. 3Н",,"Санкт-Петербург, Малый пр. В.О., д. 65, корп. 1, литера А, часть помещения 3Н (комнаты 4-8, часть комнаты 16)",,78,78,Розничная продажа алкогольной продукции,,78-004420,00421/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1392,"Общество с ограниченной ответственностью ""Аста""",7811111674,781101001,"Российская Федерация, 193148, Санкт-Петербург, Седова ул., д. 19",,"Санкт-Петербург, пр. Елизарова,  д. 12, литера А, часть помещения 3Н (комн. 2-10)",,78,78,Розничная продажа алкогольной продукции,,78-004421,00422/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1393,"Общество с ограниченной ответственностью ""ВИКТОРИЯ""",7841420736,,"Российская Федерация, Санкт-Петербург, Маяковского ул., д. 10, литера А, помещение 1-Н",,"Санкт-Петербург, Маяковского ул., д. 10, литера А, помещение 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-004422,00423/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1394,"Общество с ограниченной ответственностью ""Магнолия """,7802220525,780201001,"Российская Федерация, 194352, Санкт-Петербург, Придорожная аллея, д. 21, кв. 494",,"Санкт-Петербург, Большой пр. П.С., д. 35, литера А, часть помещение 1Н (часть комн. 75,103, комн. 133",,78,78,Розничная продажа алкогольной продукции,,78-004423,00424/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1395,"Общество с ограниченной ответственностью ""Мистерия""",7802183432,780201001,"Российская Федерация, 194352, Санкт-Петербург, Придорожная аллея, д. 21, кв. 494",,"Санкт-Петербург, Большой пр. П.С., д. 35, литера А, часть пом. 1-Н (комн. 61,62,63,64,65,66, часть комн.3)",,78,78,Розничная продажа алкогольной продукции,,78-004424,00425/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1396,"Общество с ограниченной ответственностью ""Хмель""",7840341560,780101001,"Российская Федерация, 199106, Санкт-Петербург, Большой пр. В.О., д. 68, литера А",,"Санкт-Петербург, Большой пр. В.О., д. 68, литера А, часть пом. 1Н (ком. 18-28, 160-164)",,78,78,Розничная продажа алкогольной продукции,,78-004425,00426/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",07.06.2010,07.06.2013,,,,,Действует,07.06.2010
1644,"Общество с ограниченной ответственностью ""Графское""",7843309701,784301001,"Российская Федерация, 197758, Санкт-Петербург, Песочный, Пролетарский пр., д. 17, литера А",,"Санкт-Петербург, Песочный, Пролетарский пр., д. 17, литера А",,78,78,Розничная продажа алкогольной продукции,,78-004428,00429/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",09.06.2010,09.06.2013,,,,,Действует,09.06.2010
1645,"Общество с ограниченной ответственностью ""Орегон""",7825131014,784201001,"191187, Российская Федерация, Санкт-Петербург, Чайковского ул., дом 50",,"Санкт-Петербург, Олеко Дундича ул., д. 25, корп. 2, лит. А, пом. 2Н",,78,78,Розничная продажа алкогольной продукции,,78-004430,00430/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",09.06.2010,09.06.2013,,,,,Действует,09.06.2010
1646,"Общество с ограниченной ответственностью ""Торговый дом ""Старый город""",7806359542,780601001,"195196, Российская Федерация, Санкт-Петербург, Заневский пр., дом 13",,"Санкт-Петербург, Куйбышева ул., д. 36, лит. А, пом. 3-Н",,78,78,Розничная продажа алкогольной продукции,,78-004429,00431/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",09.06.2010,09.06.2013,,,,,Действует,09.06.2010
1647,"Общество с ограниченной ответственностью ""Интеграл""",7801421229,780101001,"199106, Российская Федерация, Санкт-Петербург, 25-я линия, дом 6, корп. 1, лит. Б",,"Санкт-Петербург, Стачек пр., д. 32, лит. А, пом. 8Н,9Н",,78,78,Розничная продажа алкогольной продукции,,78-004431,00432/2010,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",09.06.2010,09.06.2013,,,,,Действует,09.06.2010
